date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-03-11,0,0,0,0,0,0,0,0,0.00,-1.00%,0.00%,NaN%,0,0
2018-04-09,0,2,0,2,0,2,1,7,0.00,5.60%,93.79%,NaN%,2733,54
2018-05-13,0,7,0,6,0,14,2,29,0.00,2.80%,97.99%,0.00%,4863,93
2018-06-22,0,7,0,6,0,8,2,23,0.00,2.30%,99.09%,0.00%,4271,82
2018-07-22,0,7,0,6,0,8,2,23,0.00,2.68%,98.27%,0.00%,4344,85
2018-08-22,0,2,0,7,0,10,1,20,0.00,1.41%,99.23%,0.00%,5566,141
2018-10-02,0,2,0,11,0,17,2,32,0.00,1.18%,98.33%,0.00%,7460,200
2018-11-04,0,4,1,7,0,8,3,23,5.82,10.00%,68.38%,39.73%,4407,127
2018-12-08,0,4,1,7,0,8,3,23,5.82,10.00%,68.38%,38.79%,4407,127
2019-01-06,0,4,1,7,0,8,3,23,5.82,9.55%,70.29%,39.53%,4470,131
2019-02-06,0,4,1,7,0,8,3,23,5.64,9.57%,74.56%,35.86%,4767,137
2019-03-11,0,4,1,7,0,8,3,23,5.64,9.70%,73.79%,36.09%,4784,136
2019-04-13,0,4,1,7,0,9,3,24,5.64,9.78%,73.51%,35.65%,4829,137
2019-05-12,0,4,1,7,0,9,3,24,5.64,9.78%,73.51%,35.80%,4849,137
2019-06-12,0,4,1,7,0,9,5,26,5.73,9.60%,73.84%,37.26%,4906,143
2019-07-13,0,4,1,7,0,11,5,28,5.83,9.33%,73.83%,35.08%,5146,150
2019-08-18,0,4,1,7,0,11,5,28,5.83,9.26%,74.85%,36.13%,5422,153
2019-09-22,0,4,1,7,0,12,5,29,5.72,14.51%,72.17%,34.46%,7959,183
2019-10-27,0,4,1,7,0,12,5,29,5.72,14.51%,72.17%,34.18%,8005,183
2019-12-15,0,4,1,9,0,12,5,31,5.67,13.13%,71.50%,32.45%,8999,209
2020-02-16,0,4,1,10,0,12,5,32,5.67,13.08%,71.27%,32.62%,9056,209
2020-05-02,0,4,1,10,0,12,5,32,5.67,13.08%,71.27%,32.43%,9067,209
2020-05-31,0,6,1,16,0,12,7,42,5.03,11.74%,70.24%,32.63%,11172,268
2020-07-19,0,6,1,16,0,12,7,42,5.03,11.74%,70.24%,32.37%,11235,268
2020-08-30,0,12,1,17,0,12,9,51,5.19,11.10%,72.42%,34.00%,11978,280
2020-10-13,0,12,1,17,0,13,9,52,5.24,10.38%,74.50%,35.30%,13374,292
2020-11-28,0,12,1,17,0,13,9,52,5.24,10.38%,74.50%,34.67%,13374,292
2021-01-04,0,12,1,17,1,16,8,55,5.41,10.49%,73.99%,35.05%,13716,298
2021-02-11,0,14,1,17,0,17,9,58,5.67,10.49%,73.99%,34.44%,13717,298
2021-03-14,0,14,1,17,0,17,9,58,5.67,10.44%,74.15%,35.15%,13745,298
2021-05-15,0,14,1,17,0,16,9,57,5.52,10.44%,74.15%,34.54%,13806,299
2021-10-17,0,14,1,17,0,16,9,57,5.52,10.44%,74.15%,35.14%,13806,299
2022-01-03,0,14,1,17,0,16,9,57,5.52,10.40%,74.10%,35.04%,13821,300
2022-02-02,0,12,1,17,0,16,8,54,5.48,10.41%,74.09%,34.76%,13751,300
2022-03-19,0,12,1,19,0,17,8,57,5.48,10.06%,74.88%,36.39%,14441,307
2022-06-24,0,12,1,19,0,16,8,56,5.27,9.84%,75.66%,35.50%,15236,314
2022-08-06,0,12,1,19,0,16,8,56,5.27,9.72%,76.12%,32.69%,16088,317
2022-09-10,0,12,1,19,0,16,8,56,5.27,9.54%,76.31%,33.17%,16648,322
2023-01-17,0,12,1,19,0,16,8,56,5.27,9.54%,76.31%,33.21%,16631,322
2023-04-01,0,12,1,19,0,16,8,56,5.27,9.54%,76.31%,33.24%,16647,322
