date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-05-13,0,1,0,0,0,2,1,4,,,,0.00%,134,4
2018-06-22,0,1,0,0,0,2,0,3,,,,0.00%,142,4
2018-07-22,0,1,0,1,0,3,1,6,,,,0.00%,326,8
2018-08-22,0,1,0,1,0,3,1,6,,,,0.00%,326,8
2018-10-02,0,1,0,1,0,4,0,6,,,,0.00%,342,8
2018-11-04,0,1,0,0,0,0,0,1,,,,65.11%,171,4
2018-12-08,0,1,0,0,0,0,0,1,,,,65.11%,171,4
2019-01-06,0,1,0,0,0,0,0,1,,,,65.52%,171,4
2019-02-06,0,1,0,0,0,0,0,1,,,,52.57%,228,5
2019-03-11,0,1,0,0,0,0,0,1,,,,51.00%,241,5
2019-04-13,0,1,0,0,0,1,0,2,,,,52.30%,255,5
2019-05-12,0,1,0,0,0,1,0,2,,,,52.30%,255,5
2019-06-12,0,1,0,0,0,1,0,2,,,,52.88%,258,5
2019-07-13,0,1,0,0,0,1,0,2,,,,53.48%,263,5
2019-08-18,0,1,0,0,0,1,0,2,,,,53.98%,265,5
2019-09-22,0,1,0,0,0,1,0,2,,,,53.98%,265,5
2019-10-27,0,1,0,0,0,1,0,2,,,,53.98%,265,5
2019-12-15,0,1,0,0,0,1,0,2,,,,53.98%,265,5
2020-02-16,0,1,0,0,0,1,0,2,,,,53.98%,265,5
2020-05-02,0,1,0,0,0,1,0,2,,,,53.98%,265,5
2020-05-31,0,1,0,0,0,1,1,3,,,,54.23%,266,5
2020-07-19,0,1,0,0,0,1,1,3,,,,54.23%,266,5
2020-08-30,0,1,0,0,0,1,1,3,,,,54.31%,268,5
2020-10-13,0,1,0,0,0,1,1,3,,,,54.31%,268,5
2020-11-28,0,1,0,0,0,1,1,3,,,,54.31%,268,5
2021-01-04,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2021-02-11,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2021-03-14,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2021-05-15,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2021-10-17,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2022-01-03,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2022-02-02,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2022-03-19,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2022-06-24,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2022-08-06,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2022-09-10,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2023-01-17,0,1,0,0,0,1,1,3,,,,54.51%,268,5
2023-04-01,0,1,0,0,0,1,1,3,,,,54.51%,268,5
