date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-08-22,0,0,0,1,0,0,0,1,,,,,712,8
2018-10-02,0,0,0,1,0,0,0,1,,,,0.00%,824,8
2018-11-04,0,0,0,0,0,0,0,0,,,,40.35%,419,4
2018-12-08,0,0,0,0,0,0,0,0,,,,40.35%,419,4
2019-01-06,0,0,0,0,0,0,0,0,,,,42.54%,425,4
2019-02-06,0,0,0,0,0,0,0,0,,,,44.05%,445,4
2019-03-11,0,0,0,0,0,0,0,0,,,,45.92%,457,4
2019-04-13,0,0,0,0,0,0,0,0,,,,46.45%,459,4
2019-05-12,0,0,0,0,0,0,0,0,,,,46.45%,459,4
2019-06-12,0,0,0,0,0,0,0,0,,,,52.40%,502,5
2019-07-13,0,0,0,0,0,0,0,0,,,,52.40%,502,5
2019-08-18,0,0,0,0,0,0,0,0,,,,49.65%,523,5
2019-09-22,0,0,0,0,0,0,0,0,,,,49.56%,523,5
2019-10-27,0,0,0,0,0,0,0,0,,,,50.34%,531,5
2019-12-15,0,0,0,0,0,0,0,0,,,,49.01%,545,5
2020-02-16,0,0,0,0,0,0,0,0,,,,49.01%,545,5
2020-05-02,0,0,0,0,0,0,0,0,,,,49.01%,545,5
2020-05-31,0,1,0,1,0,0,0,2,,,,31.34%,860,11
2020-07-19,0,1,0,1,0,0,0,2,,,,31.34%,860,11
2020-08-30,0,1,0,1,0,0,0,2,,,,31.56%,868,11
2020-10-13,0,1,0,1,0,0,0,2,,,,31.56%,868,11
2020-11-28,0,1,0,1,0,0,0,2,,,,31.56%,868,11
2021-01-04,0,1,0,1,0,0,0,2,,,,28.53%,950,12
2021-02-11,0,1,0,1,0,0,0,2,,,,28.53%,950,12
2021-03-14,0,1,0,1,0,0,0,2,,,,29.44%,954,12
2021-05-15,0,1,0,1,0,0,1,3,,,,29.44%,954,12
2021-10-17,0,1,0,1,0,0,1,3,,,,29.44%,954,12
2022-01-03,0,1,0,1,0,0,1,3,,,,29.44%,954,12
2022-02-02,0,0,0,1,0,0,0,1,,,,29.64%,943,12
2022-03-19,0,0,0,1,0,0,0,1,,,,28.84%,964,12
2022-06-24,0,0,0,1,0,0,0,1,,,,28.84%,964,12
2022-08-06,0,0,0,1,0,0,0,1,,,,28.84%,964,12
2022-09-10,0,0,0,1,0,0,0,1,,,,28.84%,964,12
2023-01-17,0,0,0,1,0,0,0,1,,,,28.84%,964,12
2023-04-01,0,0,0,1,0,0,0,1,,,,28.84%,964,12
