date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-05-31,0,0,0,0,0,0,1,1,,,,62.73%,210,5
2020-07-19,0,0,0,0,0,0,1,1,,,,62.73%,210,5
2020-08-30,0,0,0,0,0,0,1,1,,,,65.43%,216,5
2020-10-13,0,0,0,0,0,0,1,1,,,,65.43%,216,5
2020-11-28,0,0,0,0,0,0,1,1,,,,65.43%,216,5
2021-01-04,0,0,0,0,0,0,1,1,,,,65.98%,224,5
2021-02-11,0,0,0,0,0,0,1,1,,,,65.98%,224,5
2021-03-14,0,0,0,0,0,0,1,1,,,,66.00%,230,5
2021-05-15,0,0,0,0,0,0,1,1,,,,66.00%,230,5
2021-10-17,0,0,0,0,0,0,1,1,,,,66.00%,230,5
2022-01-03,0,0,0,0,0,0,1,1,,,,66.00%,230,5
2022-02-02,0,0,0,0,0,0,1,1,,,,66.00%,230,5
2022-03-19,0,0,0,1,0,1,1,3,,,,59.22%,436,8
2022-06-24,0,0,0,1,0,1,1,3,,,,59.22%,436,8
2022-08-06,0,0,0,1,0,1,1,3,,,,59.22%,436,8
2022-09-10,0,0,0,1,0,1,1,3,,,,59.22%,436,8
2023-01-17,0,0,0,1,0,1,1,3,,,,59.37%,438,8
2023-04-01,0,0,0,1,0,1,1,3,,,,59.37%,438,8
