date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-02-11,0,0,0,0,0,0,0,0,,,,84.10%,98,4
2021-03-14,0,0,0,0,0,0,0,0,,,,84.10%,98,4
2021-05-15,0,0,0,0,0,0,0,0,,,,84.10%,98,4
2021-10-17,0,0,0,0,0,0,0,0,,,,84.10%,98,4
2022-01-03,0,0,0,0,0,0,0,0,,,,83.94%,96,4
2022-02-02,0,0,0,0,0,0,0,0,,,,83.94%,96,4
2022-03-19,0,0,0,0,0,0,0,0,,,,83.94%,96,4
2022-06-24,0,0,0,0,0,0,0,0,,,,83.94%,96,4
2022-08-06,0,0,0,0,0,0,0,0,,,,83.94%,96,4
2022-09-10,0,0,0,0,0,0,0,0,,,,83.94%,96,4
2023-01-17,0,0,0,0,0,0,0,0,,,,83.94%,96,4
2023-04-01,0,0,0,0,0,0,0,0,,,,83.94%,96,4
