date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-02-11,0,1,0,0,0,0,0,1,,,,78.11%,158,3
2021-03-14,0,1,0,0,0,0,0,1,,,,78.21%,158,3
2021-05-15,0,1,0,0,0,0,0,1,,,,78.21%,158,3
2021-10-17,0,1,0,0,0,0,0,1,,,,78.21%,158,3
2022-01-03,0,1,0,0,0,0,0,1,,,,78.21%,158,3
2022-02-02,0,1,0,0,0,0,0,1,,,,78.21%,158,3
2022-03-19,0,0,0,1,0,0,0,1,,,,83.89%,571,7
2022-06-24,0,0,0,1,0,0,0,1,,,,66.25%,697,7
2022-08-06,0,0,0,1,0,0,0,1,,,,10.08%,1517,10
2022-09-10,0,0,0,1,0,0,0,1,,,,13.63%,1137,8
2023-01-17,0,0,0,1,0,0,0,1,,,,14.04%,1110,8
2023-04-01,0,0,0,1,0,0,0,1,,,,14.04%,1110,8
