date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-08-22,0,0,0,1,0,0,0,1,,,,,376,14
2018-10-02,0,0,0,1,0,0,0,1,,,,0.00%,560,22
2018-11-04,0,0,0,1,0,0,0,1,,,,74.63%,281,11
2018-12-08,0,0,0,1,0,0,0,1,,,,74.09%,281,11
2019-01-06,0,0,0,1,0,0,0,1,,,,75.31%,317,13
2019-02-06,0,0,0,1,0,0,0,1,,,,51.80%,479,14
2019-03-11,0,0,0,1,0,0,0,1,,,,51.80%,479,14
2019-04-13,0,0,0,1,0,0,0,1,,,,50.52%,497,15
2019-05-12,0,0,0,1,0,0,0,1,,,,50.52%,497,15
2019-06-12,0,0,0,1,0,0,0,1,,,,51.83%,524,17
2019-07-13,0,0,0,1,0,0,0,1,,,,46.31%,445,15
2019-08-18,0,0,0,1,0,0,0,1,,,,48.34%,475,15
2019-09-22,0,0,0,1,0,0,0,1,,,,48.34%,475,15
2019-10-27,0,0,0,1,0,0,0,1,,,,48.34%,475,15
2019-12-15,0,0,0,1,0,0,0,1,,,,47.63%,486,16
2020-02-16,0,0,0,1,0,0,0,1,,,,48.35%,495,16
2020-05-02,0,0,0,1,0,0,0,1,,,,48.35%,495,16
2020-05-31,0,0,0,1,0,0,0,1,,,,67.02%,877,24
2020-07-19,0,0,0,1,0,0,0,1,,,,67.02%,877,24
2020-08-30,0,0,0,1,0,0,0,1,,,,68.38%,1013,26
2020-10-13,0,0,0,1,0,0,0,1,,,,69.94%,1225,29
2020-11-28,0,0,0,1,0,0,0,1,,,,69.94%,1225,29
2021-01-04,0,0,0,1,1,0,0,2,,,,70.34%,1259,31
2021-02-11,0,1,0,1,0,0,1,3,,,,68.83%,850,18
2021-03-14,0,1,0,1,0,0,1,3,,,,68.83%,850,18
2021-05-15,0,1,0,1,0,0,1,3,,,,68.83%,850,18
2021-10-17,0,1,0,1,0,0,1,3,,,,68.83%,850,18
2022-01-03,0,1,0,1,0,0,1,3,,,,68.83%,850,18
2022-02-02,0,1,0,1,0,0,1,3,,,,68.85%,853,18
2022-03-19,0,1,0,1,0,0,1,3,,,,68.89%,789,17
2022-06-24,0,1,0,1,0,0,1,3,,,,68.89%,789,17
2022-08-06,0,1,0,1,0,0,1,3,,,,67.20%,821,17
2022-09-10,0,1,0,1,0,0,1,3,,,,67.20%,821,17
2023-01-17,0,1,0,1,0,0,1,3,,,,66.72%,829,17
2023-04-01,0,1,0,1,0,0,1,3,,,,66.72%,829,17
