date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-05-13,0,2,0,1,0,1,0,4,,,,,1586,20
2018-06-22,0,2,0,1,0,2,0,5,,,,0.00%,1574,20
2018-07-22,0,2,0,1,0,2,0,5,,,,0.00%,1670,20
2018-08-22,0,0,0,1,0,3,0,4,,,,0.00%,1944,26
2018-10-02,0,0,0,0,0,6,0,6,,,,0.00%,1740,20
2018-11-04,0,1,0,0,0,1,0,2,,,,74.47%,523,5
2018-12-08,0,1,0,0,0,1,0,2,,,,74.47%,523,5
2019-01-06,0,1,0,0,0,1,0,2,,,,74.47%,523,5
2019-02-06,0,1,0,0,0,1,0,2,,,,70.40%,548,5
2019-03-11,0,1,0,0,0,1,0,2,,,,65.74%,549,5
2019-04-13,0,1,0,0,0,1,0,2,,,,66.88%,549,5
2019-05-12,0,1,0,0,0,1,0,2,,,,67.35%,569,5
2019-06-12,0,1,0,0,0,1,0,2,,,,64.57%,602,5
2019-07-13,0,1,0,0,0,1,0,2,,,,63.09%,577,5
2019-08-18,0,1,0,0,0,1,0,2,,,,54.46%,776,7
2019-09-22,0,1,0,0,0,1,0,2,,,,52.18%,764,7
2019-10-27,0,1,0,0,0,1,0,2,,,,52.18%,764,7
2019-12-15,0,1,0,0,0,1,0,2,,,,52.64%,777,7
2020-02-16,0,1,0,1,0,1,0,3,,,,45.89%,798,7
2020-05-02,0,1,0,1,0,1,0,3,,,,49.26%,799,7
2020-05-31,0,1,0,1,0,3,0,5,,,,15.80%,925,12
2020-07-19,0,1,0,1,0,3,0,5,,,,15.93%,982,12
2020-08-30,0,1,0,1,0,3,0,5,,,,16.04%,990,12
2020-10-13,0,1,0,1,0,3,0,5,,,,16.04%,990,12
2020-11-28,0,1,0,1,0,3,0,5,,,,16.04%,990,12
2021-01-04,0,1,0,1,0,5,0,7,,,,15.02%,1027,12
2021-02-11,0,1,0,1,0,6,0,8,,,,15.02%,1027,12
2021-03-14,0,1,0,1,0,6,0,8,,,,15.01%,1026,12
2021-05-15,0,1,0,1,0,6,0,8,,,,15.01%,1026,12
2021-10-17,0,1,0,1,0,6,0,8,,,,15.01%,1026,12
2022-01-03,0,1,0,1,0,6,0,8,,,,15.01%,1026,12
2022-02-02,0,1,0,1,0,6,0,8,,,,15.01%,1026,12
2022-03-19,0,1,0,1,0,6,0,8,,,,15.01%,1026,12
2022-06-24,0,1,0,1,0,6,0,8,,,,14.92%,1029,12
2022-08-06,0,1,0,1,0,6,0,8,,,,14.92%,1029,12
2022-09-10,0,1,0,1,0,6,0,8,,,,15.06%,1026,12
2023-01-17,0,1,0,1,0,6,0,8,,,,15.06%,1026,12
2023-04-01,0,1,0,1,0,6,0,8,,,,15.19%,1042,12
