date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-23,0,24,1,16,0,26,12,79,6.16,17.29%,74.27%,25.94%,18051,327
2018-08-24,0,26,1,16,0,31,16,90,6.02,16.61%,76.01%,48.91%,21969,363
2018-09-25,0,25,1,16,0,32,12,86,6.29,16.93%,75.84%,53.35%,24668,394
2018-10-24,0,31,1,17,0,28,16,93,6.14,16.54%,76.16%,55.01%,27658,446
2018-11-23,0,33,1,19,0,30,14,97,6.22,16.33%,76.60%,40.37%,28704,468
2018-12-24,0,62,1,24,0,42,21,150,6.77,12.04%,80.13%,29.71%,35475,637
2019-01-25,0,67,1,27,0,51,24,170,6.82,10.77%,81.27%,28.83%,38180,694
2019-02-25,0,68,1,28,0,52,24,173,6.87,11.33%,81.15%,30.18%,39282,706
2019-03-26,0,83,1,31,0,62,28,205,6.81,10.68%,82.55%,33.45%,42226,772
2019-04-24,0,74,1,36,1,63,28,203,6.62,9.57%,84.51%,35.14%,45523,845
2019-05-23,0,77,1,36,1,65,30,210,6.76,9.46%,84.83%,35.46%,46495,880
2019-06-24,0,77,1,37,1,65,31,212,6.79,9.34%,84.92%,36.62%,47227,892
2019-07-23,0,77,1,37,1,70,30,216,6.75,9.30%,84.72%,38.52%,49498,913
2019-08-22,0,77,1,38,1,72,32,221,6.69,9.09%,84.94%,38.78%,50317,930
2019-09-20,0,77,1,38,1,72,32,221,6.69,9.09%,84.95%,39.08%,50411,931
2019-10-21,0,77,1,38,1,73,31,221,6.72,9.03%,85.06%,38.73%,50686,936
2019-11-20,0,76,1,41,3,75,33,229,6.83,8.79%,85.28%,21.32%,139257,1074
2019-12-19,0,78,1,42,3,77,33,234,6.82,8.45%,85.74%,21.49%,139856,1096
2020-01-19,0,82,1,42,3,78,35,241,6.91,8.47%,85.70%,21.61%,140372,1100
2020-02-19,0,82,1,42,3,78,35,241,6.91,8.47%,85.70%,21.61%,140372,1100
2020-03-19,0,84,1,44,3,80,37,249,6.66,8.30%,86.12%,21.95%,142868,1161
2020-04-23,0,102,1,47,3,87,39,279,6.60,6.23%,89.44%,22.43%,144119,1190
2020-05-25,0,102,1,48,3,88,40,282,6.49,6.15%,89.77%,22.49%,144477,1205
2020-06-28,0,107,1,50,3,96,41,298,6.50,5.93%,90.22%,23.16%,146110,1251
2020-08-03,0,108,1,50,3,96,42,300,6.37,5.99%,90.27%,24.55%,147169,1285
2020-09-10,0,108,1,51,3,98,42,303,6.40,5.93%,90.34%,24.62%,147537,1290
2020-10-29,0,117,1,51,3,100,44,316,6.44,6.00%,90.25%,25.24%,148306,1304
2020-11-27,0,117,1,51,3,101,44,317,6.44,5.99%,90.26%,25.25%,148340,1305
2020-12-28,0,117,1,52,3,102,44,319,6.36,5.91%,90.38%,25.27%,148793,1323
2021-01-27,0,106,1,53,3,102,45,310,6.40,5.78%,90.52%,25.45%,149129,1329
2021-02-25,0,106,1,53,3,103,44,310,6.39,5.67%,90.72%,25.23%,149022,1333
2021-04-01,0,105,1,55,3,103,44,311,6.40,5.64%,90.75%,25.17%,149232,1339
2021-05-17,0,105,1,55,3,103,44,311,6.40,5.64%,90.75%,25.18%,149251,1339
2021-06-18,0,105,1,55,3,103,44,311,6.40,5.64%,90.75%,25.18%,149281,1339
2021-07-27,0,106,1,55,3,103,44,312,6.41,5.70%,90.68%,25.42%,149477,1342
2021-09-13,0,109,1,58,4,104,45,321,6.42,5.52%,90.93%,22.92%,176491,1418
2021-11-19,0,109,1,59,4,104,46,323,6.37,5.47%,91.00%,22.89%,176936,1428
2021-12-22,0,109,1,59,4,104,46,323,6.37,5.47%,91.00%,22.89%,176934,1428
2022-01-20,0,109,1,59,4,104,46,323,6.37,5.46%,91.04%,22.88%,177068,1429
2022-03-15,0,109,1,59,4,104,46,323,6.37,5.46%,91.04%,22.86%,177070,1429
2022-04-25,0,114,1,59,4,105,46,329,6.39,5.41%,91.14%,20.42%,177270,1438
2022-06-01,0,114,1,59,4,105,46,329,6.39,5.41%,91.14%,20.41%,177270,1438
2022-07-09,0,114,1,59,4,105,46,329,6.39,5.41%,91.14%,20.41%,177270,1438
2022-08-08,0,124,1,60,4,109,48,346,6.40,5.37%,91.29%,20.69%,178274,1460
2022-09-15,0,124,1,60,4,109,48,346,6.41,5.37%,91.28%,20.70%,178304,1461
2022-10-25,0,124,1,60,4,110,48,347,6.41,5.37%,91.29%,20.68%,178346,1461
2022-11-25,0,124,1,60,4,113,49,351,6.43,5.36%,91.32%,20.89%,179204,1472
2022-12-29,0,124,1,60,4,113,49,351,6.43,5.35%,91.34%,21.29%,179294,1473
2023-02-03,0,124,1,60,4,112,49,350,6.40,5.33%,91.38%,21.28%,179353,1477
2023-03-29,0,124,1,61,4,113,51,354,6.38,5.06%,91.68%,21.45%,180880,1516
