date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-23,0,0,0,0,0,0,0,0,,,,13.24%,101,1
2018-08-24,0,0,0,0,0,0,0,0,,,,48.04%,101,1
2018-09-25,0,0,0,0,0,0,0,0,,,,48.04%,101,1
2018-10-24,0,0,0,0,0,0,0,0,,,,53.23%,97,1
2018-11-23,0,0,0,0,0,0,0,0,,,,53.23%,97,1
2018-12-24,0,0,0,0,0,0,0,0,,,,51.79%,106,1
2019-01-25,0,0,0,0,0,0,0,0,,,,58.39%,169,2
2019-02-25,0,0,0,0,0,0,0,0,,,,58.39%,169,2
2019-03-26,0,0,0,0,0,0,0,0,,,,58.39%,169,2
2019-04-24,0,0,0,0,0,0,0,0,,,,57.73%,209,2
2019-05-23,0,0,0,0,0,0,0,0,,,,58.13%,209,2
2019-06-24,0,0,0,0,0,0,1,1,,,,58.13%,209,2
2019-07-23,0,0,0,0,0,0,0,0,,,,70.11%,263,3
2019-08-22,0,0,0,0,0,0,0,0,,,,70.11%,263,3
2019-09-20,0,0,0,0,0,0,0,0,,,,70.11%,263,3
2019-10-21,0,0,0,0,0,0,0,0,,,,70.11%,263,3
2019-11-20,0,0,0,0,0,0,0,0,,,,70.11%,264,3
2019-12-19,0,0,0,0,0,0,0,0,,,,68.13%,285,3
2020-01-19,0,0,0,0,0,0,0,0,,,,68.13%,285,3
2020-02-19,0,0,0,0,0,0,0,0,,,,68.13%,285,3
2020-03-19,0,0,0,0,0,0,0,0,,,,68.13%,285,3
2020-04-23,0,2,0,0,0,0,0,2,,,,68.13%,285,3
2020-05-25,0,3,0,0,0,0,0,3,,,,59.09%,332,3
2020-06-28,0,3,0,0,0,0,0,3,,,,59.09%,332,3
2020-08-03,0,3,0,0,0,0,0,3,,,,59.09%,332,3
2020-09-10,0,3,0,0,0,0,0,3,,,,59.09%,332,3
2020-10-29,0,3,0,0,0,0,0,3,,,,59.29%,332,3
2020-11-27,0,3,0,0,0,0,0,3,,,,59.29%,332,3
2020-12-28,0,3,0,0,0,0,0,3,,,,59.29%,332,3
2021-01-27,0,1,0,0,0,0,0,1,,,,59.88%,364,3
2021-02-25,0,1,0,0,0,0,0,1,,,,59.88%,365,3
2021-04-01,0,1,0,0,0,0,0,1,,,,59.88%,365,3
2021-05-17,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2021-06-18,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2021-07-27,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2021-09-13,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2021-11-19,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2021-12-22,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-01-20,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-03-15,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-04-25,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-06-01,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-07-09,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-08-08,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-09-15,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-10-25,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-11-25,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2022-12-29,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2023-02-03,0,1,0,0,0,0,0,1,,,,58.05%,381,3
2023-03-29,0,1,0,0,0,0,0,1,,,,58.05%,381,3
