date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-23,0,3,0,1,0,1,1,6,,,,70.48%,989,18
2018-08-24,0,3,0,1,0,1,1,6,,,,72.41%,989,18
2018-09-25,0,3,0,1,0,2,0,6,,,,81.60%,1826,28
2018-10-24,0,3,0,1,0,1,0,5,,,,81.44%,1871,28
2018-11-23,0,3,0,1,0,1,0,5,,,,79.54%,1911,28
2018-12-24,0,3,0,1,0,1,0,5,,,,79.54%,1911,28
2019-01-25,0,3,0,1,0,1,0,5,,,,79.58%,1923,29
2019-02-25,0,3,0,1,0,1,0,5,,,,75.18%,2014,29
2019-03-26,0,4,0,1,0,1,1,7,,,,74.91%,2046,30
2019-04-24,0,4,0,1,1,1,1,8,,,,75.11%,2062,31
2019-05-23,0,4,0,1,1,1,1,8,,,,75.72%,2208,39
2019-06-24,0,4,0,1,1,1,1,8,,,,75.72%,2208,39
2019-07-23,0,4,0,1,1,1,1,8,,,,75.72%,2219,39
2019-08-22,0,4,0,1,1,1,1,8,,,,75.72%,2219,39
2019-09-20,0,4,0,1,1,1,1,8,,,,75.51%,2221,39
2019-10-21,0,4,0,1,1,1,1,8,,,,75.51%,2221,39
2019-11-20,0,4,0,1,1,1,1,8,,,,70.93%,2353,41
2019-12-19,0,4,0,1,1,1,1,8,,,,70.89%,2339,40
2020-01-19,0,4,0,1,1,1,1,8,,,,70.89%,2363,40
2020-02-19,0,4,0,1,1,1,1,8,,,,70.89%,2363,40
2020-03-19,0,4,0,1,1,1,1,8,,,,72.50%,2386,40
2020-04-23,0,4,0,1,1,1,1,8,,,,72.50%,2386,40
2020-05-25,0,4,0,1,1,1,1,8,,,,74.17%,2451,40
2020-06-28,0,4,0,1,1,1,1,8,,,,74.17%,2489,41
2020-08-03,0,4,0,1,1,1,1,8,,,,75.38%,2489,41
2020-09-10,0,4,0,1,1,1,1,8,,,,75.47%,2523,41
2020-10-29,0,4,0,1,1,1,1,8,,,,75.47%,2523,41
2020-11-27,0,4,0,1,1,1,1,8,,,,75.47%,2525,41
2020-12-28,0,4,0,1,1,1,1,8,,,,75.47%,2525,41
2021-01-27,0,4,0,1,1,1,1,8,,,,75.47%,2536,41
2021-02-25,0,4,0,1,1,1,1,8,,,,75.47%,2536,41
2021-04-01,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2021-05-17,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2021-06-18,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2021-07-27,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2021-09-13,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2021-11-19,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2021-12-22,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2022-01-20,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2022-03-15,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2022-04-25,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2022-06-01,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2022-07-09,0,4,0,1,1,1,1,8,,,,75.73%,2527,41
2022-08-08,0,4,0,1,1,2,1,9,,,,75.73%,2603,43
2022-09-15,0,4,0,1,1,2,1,9,,,,75.73%,2603,43
2022-10-25,0,4,0,1,1,2,1,9,,,,75.73%,2603,43
2022-11-25,0,4,0,1,1,2,1,9,,,,75.73%,2604,43
2022-12-29,0,4,0,1,1,2,1,9,,,,75.73%,2604,43
2023-02-03,0,4,0,1,1,2,1,9,,,,75.73%,2604,43
2023-03-29,0,4,0,1,1,2,1,9,,,,75.73%,2604,43
