date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-23,0,3,0,1,0,1,1,6,,,,18.87%,477,10
2018-08-24,0,3,0,1,0,1,1,6,,,,38.16%,477,10
2018-09-25,0,3,0,0,0,1,1,5,,,,41.84%,481,9
2018-10-24,0,3,0,0,0,0,1,4,,,,42.14%,481,9
2018-11-23,0,3,0,0,0,0,1,4,,,,42.93%,555,9
2018-12-24,0,3,0,0,0,0,1,4,,,,42.87%,557,9
2019-01-25,0,3,0,0,0,0,1,4,,,,43.53%,559,9
2019-02-25,0,3,0,0,0,0,1,4,,,,50.15%,817,14
2019-03-26,0,4,0,0,0,0,1,5,,,,40.65%,903,14
2019-04-24,0,4,0,0,0,0,1,5,,,,40.65%,903,14
2019-05-23,0,4,0,0,0,0,1,5,,,,40.65%,903,14
2019-06-24,0,4,0,0,0,0,1,5,,,,40.45%,1061,16
2019-07-23,0,4,0,0,0,0,1,5,,,,40.45%,1061,16
2019-08-22,0,4,0,0,0,0,1,5,,,,40.45%,1061,16
2019-09-20,0,4,0,0,0,0,1,5,,,,40.45%,1061,16
2019-10-21,0,4,0,0,0,0,1,5,,,,40.45%,1061,16
2019-11-20,0,4,0,0,0,0,1,5,,,,41.27%,1097,16
2019-12-19,0,4,0,0,0,0,1,5,,,,41.27%,1097,16
2020-01-19,0,4,0,0,0,0,1,5,,,,41.46%,1097,16
2020-02-19,0,4,0,0,0,0,1,5,,,,41.46%,1097,16
2020-03-19,0,4,0,0,0,0,1,5,,,,41.46%,1097,16
2020-04-23,0,4,0,0,0,0,1,5,,,,41.46%,1097,16
2020-05-25,0,4,0,0,0,0,1,5,,,,39.16%,1069,16
2020-06-28,0,4,0,0,0,0,1,5,,,,39.16%,1069,16
2020-08-03,0,4,0,0,0,0,1,5,,,,40.56%,1069,16
2020-09-10,0,4,0,0,0,0,1,5,,,,40.56%,1069,16
2020-10-29,0,4,0,0,0,0,1,5,,,,40.80%,1069,16
2020-11-27,0,4,0,0,0,0,1,5,,,,40.80%,1069,16
2020-12-28,0,4,0,0,0,0,1,5,,,,40.80%,1069,16
2021-01-27,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-02-25,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-04-01,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-05-17,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-06-18,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-07-27,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-09-13,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-11-19,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2021-12-22,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-01-20,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-03-15,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-04-25,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-06-01,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-07-09,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-08-08,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-09-15,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-10-25,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-11-25,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2022-12-29,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2023-02-03,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
2023-03-29,0,3,0,0,0,0,1,4,,,,40.80%,1069,16
