date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-23,0,0,0,1,0,2,0,3,,,,25.93%,813,13
2018-08-24,0,0,0,1,0,2,1,4,,,,70.17%,817,13
2018-09-25,0,0,0,1,0,2,1,4,,,,68.68%,828,13
2018-10-24,0,0,0,1,0,2,1,4,,,,68.36%,826,13
2018-11-23,0,1,0,1,0,2,1,5,,,,68.36%,945,14
2018-12-24,0,4,0,0,0,2,1,7,,,,55.35%,1205,16
2019-01-25,0,4,0,0,0,2,1,7,,,,53.44%,1220,16
2019-02-25,0,4,0,0,0,2,1,7,,,,53.41%,1213,16
2019-03-26,0,4,0,0,0,2,1,7,,,,55.94%,1240,17
2019-04-24,0,4,0,0,0,2,1,7,,,,55.94%,1240,17
2019-05-23,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2019-06-24,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2019-07-23,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2019-08-22,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2019-09-20,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2019-10-21,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2019-11-20,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2019-12-19,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-01-19,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-02-19,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-03-19,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-04-23,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-05-25,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-06-28,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-08-03,0,4,0,0,0,2,1,7,,,,57.06%,1264,17
2020-09-10,0,4,0,0,0,2,1,7,,,,57.13%,1160,16
2020-10-29,0,4,0,0,0,2,1,7,,,,54.57%,1277,17
2020-11-27,0,4,0,0,0,2,1,7,,,,54.57%,1277,17
2020-12-28,0,4,0,0,0,2,1,7,,,,54.57%,1277,17
2021-01-27,0,4,0,0,0,2,1,7,,,,54.34%,1288,17
2021-02-25,0,4,0,0,0,2,1,7,,,,54.34%,1288,17
2021-04-01,0,4,0,0,0,2,1,7,,,,54.34%,1288,17
2021-05-17,0,4,0,0,0,2,1,7,,,,54.27%,1295,17
2021-06-18,0,4,0,0,0,2,1,7,,,,54.27%,1295,17
2021-07-27,0,4,0,0,0,2,1,7,,,,54.27%,1295,17
2021-09-13,0,4,0,0,0,2,1,7,,,,54.27%,1295,17
2021-11-19,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2021-12-22,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2022-01-20,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2022-03-15,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2022-04-25,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2022-06-01,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2022-07-09,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2022-08-08,0,4,0,0,0,2,1,7,,,,54.27%,1298,17
2022-09-15,0,4,0,0,0,2,1,7,,,,54.62%,1298,17
2022-10-25,0,4,0,0,0,2,1,7,,,,54.62%,1298,17
2022-11-25,0,4,0,0,0,2,1,7,,,,54.62%,1298,17
2022-12-29,0,4,0,0,0,2,1,7,,,,54.62%,1298,17
2023-02-03,0,4,0,0,0,2,1,7,,,,54.62%,1298,17
2023-03-29,0,4,0,0,0,2,1,7,,,,54.62%,1298,17
