date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-23,0,0,0,1,0,0,0,1,,,,39.48%,601,8
2018-08-24,0,2,0,1,0,0,1,4,,,,42.13%,619,8
2018-09-25,0,2,0,1,0,0,1,4,,,,59.08%,675,8
2018-10-24,0,2,0,1,0,0,1,4,,,,59.08%,675,8
2018-11-23,0,2,0,1,0,0,0,3,,,,46.96%,737,8
2018-12-24,0,0,0,1,0,0,0,1,,,,43.97%,743,8
2019-01-25,0,0,0,1,0,0,0,1,,,,43.15%,759,9
2019-02-25,0,0,0,1,0,0,0,1,,,,56.75%,759,9
2019-03-26,0,0,0,1,0,0,0,1,,,,70.57%,804,9
2019-04-24,0,0,0,1,0,0,0,1,,,,71.97%,804,9
2019-05-23,0,0,0,1,0,0,0,1,,,,74.15%,804,9
2019-06-24,0,0,0,1,0,0,0,1,,,,80.70%,803,9
2019-07-23,0,0,0,1,0,0,0,1,,,,80.53%,803,9
2019-08-22,0,0,0,1,0,0,0,1,,,,80.26%,803,9
2019-09-20,0,0,0,1,0,0,0,1,,,,78.85%,803,9
2019-10-21,0,0,0,1,0,0,0,1,,,,77.53%,803,9
2019-11-20,0,0,0,1,0,0,0,1,,,,79.21%,803,9
2019-12-19,0,0,0,1,0,0,0,1,,,,80.70%,803,9
2020-01-19,0,0,0,1,0,0,0,1,,,,80.53%,803,9
2020-02-19,0,0,0,1,0,0,0,1,,,,80.53%,803,9
2020-03-19,0,0,0,1,0,0,0,1,,,,78.85%,803,9
2020-04-23,0,1,0,1,0,0,0,2,,,,78.59%,803,9
2020-05-25,0,1,0,1,0,0,0,2,,,,79.47%,803,9
2020-06-28,0,1,0,1,0,0,0,2,,,,79.21%,803,9
2020-08-03,0,1,0,1,0,0,0,2,,,,80.79%,803,9
2020-09-10,0,1,0,1,0,0,0,2,,,,78.65%,805,9
2020-10-29,0,1,0,1,0,0,0,2,,,,80.58%,805,9
2020-11-27,0,1,0,1,0,0,0,2,,,,77.86%,805,9
2020-12-28,0,1,0,1,0,0,0,2,,,,78.65%,805,9
2021-01-27,0,0,0,1,0,0,0,1,,,,79.70%,805,9
2021-02-25,0,0,0,0,0,0,0,0,,,,78.84%,382,4
2021-04-01,0,0,0,0,0,0,0,0,,,,78.84%,382,4
2021-05-17,0,0,0,0,0,0,0,0,,,,78.84%,382,4
2021-06-18,0,0,0,0,0,0,0,0,,,,79.19%,382,4
2021-07-27,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2021-09-13,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2021-11-19,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2021-12-22,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-01-20,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-03-15,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-04-25,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-06-01,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-07-09,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-08-08,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-09-15,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-10-25,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-11-25,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2022-12-29,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2023-02-03,0,1,0,0,0,0,0,1,,,,79.37%,382,4
2023-03-29,0,1,0,0,0,0,0,1,,,,79.37%,382,4
