date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-23,0,0,0,1,0,0,0,1,,,,33.77%,325,8
2018-08-24,0,0,0,1,0,0,0,1,,,,43.91%,334,8
2018-09-25,0,0,0,1,0,0,0,1,,,,42.01%,361,9
2018-10-24,0,0,0,1,0,0,0,1,,,,40.06%,404,11
2018-11-23,0,0,0,1,0,0,0,1,,,,41.69%,456,13
2018-12-24,0,0,0,1,0,0,0,1,,,,39.74%,485,14
2019-01-25,0,0,0,1,0,0,0,1,,,,39.74%,485,14
2019-02-25,0,0,0,1,0,0,0,1,,,,39.74%,489,14
2019-03-26,0,0,0,1,0,0,0,1,,,,39.74%,489,14
2019-04-24,0,0,0,1,0,0,0,1,,,,47.81%,703,18
2019-05-23,0,0,0,1,0,0,0,1,,,,51.62%,703,18
2019-06-24,0,0,0,1,0,0,0,1,,,,51.62%,703,18
2019-07-23,0,0,0,1,0,0,0,1,,,,57.90%,856,20
2019-08-22,0,0,0,1,0,0,0,1,,,,58.51%,874,20
2019-09-20,0,0,0,1,0,0,0,1,,,,58.51%,874,20
2019-10-21,0,0,0,1,0,0,0,1,,,,58.51%,874,20
2019-11-20,0,0,0,1,0,0,0,1,,,,59.04%,912,20
2019-12-19,0,0,0,1,0,0,0,1,,,,59.04%,912,20
2020-01-19,0,0,0,1,0,0,0,1,,,,59.04%,912,20
2020-02-19,0,0,0,1,0,0,0,1,,,,59.04%,912,20
2020-03-19,0,0,0,1,0,0,0,1,,,,59.34%,912,20
2020-04-23,0,4,0,1,0,0,1,6,,,,79.01%,1095,21
2020-05-25,0,4,0,1,0,0,1,6,,,,79.76%,1055,21
2020-06-28,0,4,0,1,0,0,1,6,,,,79.76%,1055,21
2020-08-03,0,4,0,1,0,0,1,6,,,,79.76%,1055,21
2020-09-10,0,4,0,1,0,0,1,6,,,,79.69%,1055,21
2020-10-29,0,4,0,1,0,0,1,6,,,,79.69%,1055,21
2020-11-27,0,4,0,1,0,0,1,6,,,,79.69%,1055,21
2020-12-28,0,4,0,1,0,0,1,6,,,,79.69%,1055,21
2021-01-27,0,1,0,1,0,0,1,3,,,,78.98%,718,17
2021-02-25,0,1,0,1,0,0,1,3,,,,78.98%,718,17
2021-04-01,0,1,0,1,0,0,1,3,,,,78.98%,718,17
2021-05-17,0,1,0,1,0,0,1,3,,,,78.98%,718,17
2021-06-18,0,1,0,1,0,0,1,3,,,,78.98%,718,17
2021-07-27,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2021-09-13,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2021-11-19,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2021-12-22,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-01-20,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-03-15,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-04-25,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-06-01,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-07-09,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-08-08,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-09-15,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-10-25,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-11-25,0,1,0,1,0,0,1,3,,,,83.61%,928,20
2022-12-29,0,1,0,1,0,0,1,3,,,,82.84%,938,20
2023-02-03,0,1,0,1,0,0,1,3,,,,82.84%,938,20
2023-03-29,0,1,0,1,0,0,1,3,,,,82.84%,938,20
