date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-11-20,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2019-12-19,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-01-19,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-02-19,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-03-19,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-04-23,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-05-25,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-06-28,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-08-03,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-09-10,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-10-29,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-11-27,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2020-12-28,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2021-01-27,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2021-02-25,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2021-04-01,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2021-05-17,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2021-06-18,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
2021-07-27,0,0,0,1,2,0,0,3,,,,0.00%,77003,73
