date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-09-10,0,0,0,0,0,0,0,0,0.00,-1.00%,0.00%,NaN%,0,0
2016-10-09,0,4,1,4,0,3,2,14,5.63,7.39%,89.77%,59.18%,4843,82
2016-11-07,0,4,1,6,1,4,2,18,5.46,4.97%,93.02%,70.51%,15470,245
2016-12-06,0,4,0,7,1,4,2,18,0.00,3.62%,94.84%,70.46%,16276,284
2017-01-05,0,4,0,8,1,3,2,18,0.00,3.33%,95.48%,69.71%,16260,294
2017-02-03,0,4,0,8,2,5,2,21,0.00,3.23%,95.09%,61.93%,18664,317
2017-03-04,0,4,0,9,2,5,2,22,0.00,3.13%,95.31%,60.73%,19359,326
2017-04-04,0,4,0,8,2,5,2,21,0.00,3.15%,95.27%,60.22%,19412,325
2017-05-03,0,4,0,8,2,5,2,21,0.00,3.05%,95.52%,58.46%,19628,332
2017-06-03,0,4,0,8,2,5,2,21,0.00,2.99%,95.59%,58.16%,19987,335
2017-07-03,0,4,0,8,2,5,2,21,0.00,2.93%,95.71%,56.93%,20037,338
2017-08-01,0,4,0,8,2,0,2,16,0.00,2.89%,95.73%,NaN%,20140,342
2017-08-30,0,8,1,8,2,4,3,26,5.32,3.09%,95.15%,59.13%,21214,344
2017-09-28,0,8,1,8,2,4,3,26,5.26,3.07%,95.07%,57.95%,20759,340
2017-10-28,0,8,1,9,2,6,2,28,5.32,2.97%,95.39%,58.07%,21088,356
2017-12-01,0,8,1,10,2,6,2,29,5.41,2.81%,95.79%,NaN%,21465,381
2017-12-30,0,8,1,10,2,6,2,29,5.40,2.74%,95.82%,58.69%,22110,398
2018-02-02,0,8,1,10,2,4,2,27,5.35,2.72%,95.83%,58.44%,22129,401
2018-03-03,0,8,1,10,2,4,3,28,5.45,2.69%,95.86%,57.92%,22357,405
2018-04-01,0,8,1,11,2,4,3,29,5.55,2.65%,95.87%,58.47%,22649,408
2018-05-05,0,8,1,11,2,4,3,29,5.42,2.61%,95.95%,57.82%,22704,411
2018-06-07,0,8,1,11,2,4,4,30,5.47,2.71%,95.69%,57.60%,22848,412
2018-07-06,0,8,1,14,2,5,5,35,5.69,2.72%,95.68%,57.51%,24610,448
2018-08-06,0,8,1,14,2,5,5,35,5.69,2.73%,95.68%,57.34%,24669,448
2018-09-04,0,8,1,15,2,5,5,36,5.73,2.77%,95.64%,57.84%,25424,459
2018-10-03,0,8,1,15,2,5,5,36,5.70,2.72%,95.65%,56.21%,28523,474
2018-11-02,0,8,1,14,2,5,5,35,5.81,2.81%,95.48%,56.67%,28410,462
2018-12-01,0,8,1,15,2,5,5,36,5.79,2.63%,95.76%,56.22%,29065,482
2018-12-30,0,8,1,15,2,5,4,35,5.86,2.57%,95.59%,56.94%,29963,499
