date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-10-09,0,1,0,0,0,0,1,2,,,,52.90%,686,4
2016-11-07,0,1,0,0,0,0,1,2,,,,56.58%,742,4
2016-12-06,0,1,0,0,0,0,1,2,,,,56.58%,742,4
2017-01-05,0,1,0,0,0,0,1,2,,,,50.30%,712,4
2017-02-03,0,1,0,0,0,0,1,2,,,,56.21%,718,4
2017-03-04,0,1,0,0,0,0,1,2,,,,56.21%,718,4
2017-04-04,0,1,0,0,0,0,1,2,,,,51.34%,718,4
2017-05-03,0,1,0,0,0,0,1,2,,,,50.30%,718,4
2017-06-03,0,1,0,0,0,0,1,2,,,,39.45%,839,5
2017-07-03,0,1,0,0,0,0,1,2,,,,38.60%,840,5
2017-08-01,0,1,0,0,0,0,1,2,,,,,840,5
2017-08-30,0,2,0,0,0,0,1,3,,,,58.26%,1219,2
2017-09-28,0,2,0,0,0,0,1,3,,,,57.87%,1218,2
2017-10-28,0,2,0,0,0,0,1,3,,,,56.86%,1539,3
2017-12-01,0,2,0,0,0,0,1,3,,,,,1539,3
2017-12-30,0,2,0,0,0,0,1,3,,,,52.47%,1720,6
2018-02-02,0,2,0,0,0,0,1,3,,,,52.60%,1727,6
2018-03-03,0,2,0,0,0,0,1,3,,,,52.60%,1727,6
2018-04-01,0,2,0,0,0,0,1,3,,,,53.25%,1734,6
2018-05-05,0,2,0,0,0,0,1,3,,,,54.83%,1746,6
2018-06-07,0,2,0,0,0,0,1,3,,,,54.44%,1739,6
2018-07-06,0,2,0,0,0,0,1,3,,,,54.44%,1739,6
2018-08-06,0,2,0,0,0,0,1,3,,,,54.44%,1739,6
2018-09-04,0,2,0,0,0,0,1,3,,,,54.44%,1739,6
2018-10-03,0,2,0,0,0,0,1,3,,,,54.52%,1754,6
2018-11-02,0,2,0,0,0,0,1,3,,,,54.52%,1754,6
2018-12-01,0,2,0,0,0,0,1,3,,,,54.52%,1754,6
2018-12-30,0,2,0,0,0,0,1,3,,,,54.52%,1754,6
2019-02-01,0,2,0,0,0,0,1,3,,,,54.52%,1754,6
2019-03-02,0,2,0,0,0,1,1,4,,,,50.13%,1818,6
2019-03-31,0,2,0,0,0,1,1,4,,,,50.42%,1825,6
2019-04-29,0,2,0,0,0,1,1,4,,,,55.34%,2082,8
2019-05-28,0,2,0,0,0,1,1,4,,,,55.46%,2094,8
2019-07-02,0,2,0,1,0,1,1,5,,,,48.52%,2208,9
2019-07-31,0,2,0,1,0,1,1,5,,,,49.43%,2272,9
2019-08-29,0,2,0,1,0,2,1,6,,,,52.01%,2438,9
2019-10-02,0,2,0,1,0,2,1,6,,,,52.01%,2438,9
2019-11-01,0,2,0,1,0,2,1,6,,,,52.05%,2438,9
2019-12-04,0,2,0,1,0,2,1,6,,,,51.16%,2467,9
2020-01-31,0,2,0,1,0,2,1,6,,,,48.54%,2535,9
2020-02-29,0,2,0,1,0,2,1,6,,,,48.54%,2535,9
2020-03-31,0,2,0,1,0,2,1,6,,,,48.55%,2554,10
2020-05-01,0,2,0,1,0,2,1,6,,,,47.97%,2568,11
2020-05-30,0,2,0,1,0,2,1,6,,,,47.97%,2568,11
2020-07-01,0,2,0,1,0,2,1,6,,,,47.97%,2568,11
2020-07-30,0,2,0,1,0,2,1,6,,,,43.17%,3766,13
2020-08-28,0,2,0,1,0,2,1,6,,,,43.17%,3766,13
2020-09-30,0,2,0,1,0,2,1,6,,,,43.17%,3767,13
2020-11-01,0,2,0,1,0,2,1,6,,,,43.20%,3789,13
2020-11-30,0,2,0,1,0,2,1,6,,,,42.50%,3782,13
2020-12-29,0,2,0,1,0,2,1,6,,,,42.50%,3782,13
2021-01-27,0,2,0,1,0,2,1,6,,,,42.50%,3782,13
2021-02-25,0,2,0,1,0,2,1,6,,,,42.50%,3782,13
2021-03-28,0,2,0,1,0,2,1,6,,,,42.69%,3786,13
2021-04-26,0,2,0,1,0,2,1,6,,,,42.69%,3786,13
