date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-04-29,0,1,0,0,0,0,0,1,,,,15.24%,328,5
2019-05-28,0,1,0,0,0,0,0,1,,,,15.24%,328,5
2019-07-02,0,1,0,0,0,0,0,1,,,,7.23%,334,5
2019-07-31,0,1,0,0,0,0,0,1,,,,7.23%,342,5
2019-08-29,0,1,0,1,0,0,0,2,,,,30.86%,563,8
2019-10-02,0,1,0,1,0,0,0,2,,,,30.86%,563,8
2019-11-01,0,1,0,1,0,0,0,2,,,,30.86%,563,8
2019-12-04,0,1,0,1,0,0,0,2,,,,30.86%,563,8
2020-01-31,0,1,0,1,0,0,0,2,,,,30.86%,563,8
2020-02-29,0,1,0,1,0,0,0,2,,,,30.86%,563,8
2020-03-31,0,1,0,1,0,0,0,2,,,,30.86%,563,8
2020-05-01,0,1,0,1,0,0,0,2,,,,29.43%,625,8
2020-05-30,0,1,0,1,0,0,0,2,,,,29.43%,625,8
2020-07-01,0,1,0,1,0,0,0,2,,,,29.43%,625,8
2020-07-30,0,1,0,1,0,0,0,2,,,,33.00%,625,8
2020-08-28,0,1,0,1,0,0,0,2,,,,35.32%,899,15
2020-09-30,0,1,0,1,0,0,0,2,,,,35.32%,899,15
2020-11-01,0,1,0,1,0,0,0,2,,,,35.32%,899,15
2020-11-30,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2020-12-29,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-01-27,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-02-25,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-03-28,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-04-26,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-05-25,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-06-25,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-07-26,0,1,0,1,0,0,0,2,,,,35.32%,901,15
2021-08-24,0,1,0,1,0,1,0,3,,,,33.99%,1194,19
2021-09-22,0,1,0,1,0,1,0,3,,,,34.58%,1207,19
2021-10-21,0,1,0,1,0,1,0,3,,,,34.58%,1207,19
2021-11-22,0,1,0,1,0,1,0,3,,,,34.58%,1207,19
2022-01-04,0,1,0,1,0,1,0,3,,,,34.58%,1207,19
2022-02-02,0,1,0,1,0,1,0,3,,,,34.58%,1207,19
2022-03-03,0,1,0,1,0,1,0,3,,,,34.58%,1207,19
2022-04-03,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-05-03,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-06-01,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-07-16,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-08-16,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-09-16,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-10-15,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-11-15,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2022-12-14,0,1,0,1,0,1,0,3,,,,34.58%,1209,19
2023-01-13,0,1,0,1,0,1,0,3,,,,36.81%,1221,19
2023-02-11,0,1,0,1,0,1,0,3,,,,36.81%,1221,19
2023-03-14,0,1,0,1,0,1,0,3,,,,36.81%,1221,19
2023-04-12,0,1,0,1,0,1,0,3,,,,36.81%,1221,19
