date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-08-24,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2021-09-22,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2021-10-21,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2021-11-22,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-01-04,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-02-02,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-03-03,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-04-03,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-05-03,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-06-01,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-07-16,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-08-16,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-09-16,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-10-15,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-11-15,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2022-12-14,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2023-01-13,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2023-02-11,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2023-03-14,0,0,0,0,0,0,0,0,,,,0.00%,66,3
2023-04-12,0,0,0,0,0,0,0,0,,,,0.00%,66,3
