date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-10-09,0,1,0,0,0,0,0,1,,,,55.06%,244,5
2016-11-07,0,1,0,0,0,0,0,1,,,,55.84%,244,5
2016-12-06,0,1,0,0,0,0,0,1,,,,55.84%,244,5
2017-01-05,0,1,0,0,0,0,0,1,,,,49.38%,236,5
2017-02-03,0,1,0,0,0,0,0,1,,,,57.70%,236,5
2017-03-04,0,1,0,0,0,0,0,1,,,,57.70%,236,5
2017-04-04,0,1,0,0,0,0,0,1,,,,54.62%,236,5
2017-05-03,0,1,0,0,0,0,0,1,,,,49.49%,236,5
2017-06-03,0,1,0,0,0,0,0,1,,,,54.62%,236,5
2017-07-03,0,1,0,0,0,0,0,1,,,,49.70%,237,5
2017-08-01,0,1,0,0,0,0,0,1,,,,,237,5
2017-08-30,0,2,0,0,0,0,1,3,,,,89.96%,507,7
2017-09-28,0,2,0,0,0,0,1,3,,,,89.96%,507,7
2017-10-28,0,2,0,0,0,1,0,3,,,,89.88%,493,7
2017-12-01,0,2,0,0,0,1,0,3,,,,,493,7
2017-12-30,0,2,0,0,0,1,0,3,,,,89.29%,494,7
2018-02-02,0,2,0,0,0,0,0,2,,,,88.67%,536,8
2018-03-03,0,2,0,0,0,0,0,2,,,,88.67%,536,8
2018-04-01,0,2,0,0,0,0,0,2,,,,88.78%,536,8
2018-05-05,0,2,0,0,0,0,0,2,,,,88.78%,536,8
2018-06-07,0,2,0,0,0,0,0,2,,,,77.68%,620,9
2018-07-06,0,2,0,0,0,0,1,3,,,,79.59%,725,10
2018-08-06,0,2,0,0,0,0,1,3,,,,79.59%,725,10
2018-09-04,0,2,0,0,0,0,1,3,,,,79.63%,727,10
2018-10-03,0,2,0,0,0,0,1,3,,,,63.08%,838,11
2018-11-02,0,2,0,0,0,0,1,3,,,,63.08%,838,11
2018-12-01,0,2,0,0,0,0,1,3,,,,63.08%,838,11
2018-12-30,0,2,0,0,0,0,1,3,,,,63.08%,838,11
2019-02-01,0,2,0,0,0,0,1,3,,,,63.08%,838,11
