date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-10-09,0,0,0,0,0,0,0,0,,,,83.59%,602,6
2016-11-07,0,0,0,0,0,0,0,0,,,,83.59%,602,6
2016-12-06,0,0,0,0,0,0,0,0,,,,83.59%,602,6
2017-01-05,0,0,0,0,0,0,0,0,,,,83.48%,598,6
2017-02-03,0,0,0,0,0,0,0,0,,,,83.48%,598,6
2017-03-04,0,0,0,0,0,0,0,0,,,,83.48%,598,6
2017-04-04,0,0,0,0,0,0,0,0,,,,85.56%,580,6
2017-05-03,0,0,0,0,0,0,0,0,,,,85.56%,580,6
2017-06-03,0,0,0,0,0,0,0,0,,,,85.56%,580,6
2017-07-03,0,0,0,0,0,0,0,0,,,,85.56%,580,6
2017-08-01,0,0,0,0,0,0,0,0,,,,,580,6
2017-08-30,0,0,0,0,0,0,0,0,,,,85.71%,640,9
2017-09-28,0,0,0,0,0,0,0,0,,,,85.71%,640,9
2017-10-28,0,0,0,0,0,0,0,0,,,,85.45%,640,9
2017-12-01,0,0,0,0,0,0,0,0,,,,,640,9
2017-12-30,0,0,0,0,0,0,0,0,,,,85.45%,641,9
2018-02-02,0,0,0,0,0,0,0,0,,,,85.45%,641,9
2018-03-03,0,0,0,0,0,0,0,0,,,,85.45%,641,9
2018-04-01,0,0,0,0,0,0,0,0,,,,85.45%,641,9
2018-05-05,0,0,0,0,0,0,0,0,,,,85.45%,641,9
2018-06-07,0,0,0,0,0,0,0,0,,,,85.45%,641,9
2018-07-06,0,0,0,0,0,0,0,0,,,,85.38%,637,9
2018-08-06,0,0,0,0,0,0,0,0,,,,85.38%,637,9
2018-09-04,0,0,0,0,0,0,0,0,,,,85.38%,637,9
2018-10-03,0,0,0,0,0,0,0,0,,,,83.67%,653,9
2018-11-02,0,0,0,0,0,0,0,0,,,,83.67%,653,9
2018-12-01,0,0,0,0,0,0,0,0,,,,83.67%,653,9
2018-12-30,0,0,0,0,0,0,0,0,,,,78.39%,723,11
2019-02-01,0,0,0,1,0,0,0,1,,,,75.12%,1048,15
2019-03-02,0,0,0,1,0,0,0,1,,,,81.52%,1199,16
2019-03-31,0,0,0,1,0,0,0,1,,,,81.52%,1199,16
2019-04-29,0,0,0,1,0,0,1,2,,,,84.50%,1485,22
2019-05-28,0,0,0,1,0,0,1,2,,,,85.80%,1513,22
2019-07-02,0,0,0,1,0,0,1,2,,,,85.31%,1546,23
2019-07-31,0,0,0,1,0,0,1,2,,,,85.31%,1546,23
2019-08-29,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2019-10-02,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2019-11-01,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2019-12-04,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2020-01-31,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2020-02-29,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2020-03-31,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2020-05-01,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2020-05-30,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2020-07-01,0,1,0,1,0,0,1,3,,,,83.95%,2083,27
2020-07-30,0,1,0,1,0,0,1,3,,,,84.52%,2140,29
2020-08-28,0,1,0,1,0,0,1,3,,,,84.52%,2140,29
2020-09-30,0,1,0,1,0,0,1,3,,,,84.52%,2140,29
2020-11-01,0,1,0,1,0,0,1,3,,,,84.52%,2140,29
