date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2017-02-03,0,1,0,1,0,0,0,2,,,,74.90%,1134,16
2017-03-04,0,1,0,1,0,0,0,2,,,,74.90%,1134,16
2017-04-04,0,1,0,1,0,0,0,2,,,,74.90%,1134,16
2017-05-03,0,1,0,1,0,0,0,2,,,,74.90%,1134,16
2017-06-03,0,1,0,1,0,0,0,2,,,,74.90%,1134,16
2017-07-03,0,1,0,1,0,0,0,2,,,,74.90%,1134,16
2017-08-01,0,1,0,1,0,0,0,2,,,,,1150,16
2017-08-30,0,1,0,1,0,0,0,2,,,,77.54%,1150,16
2017-09-28,0,1,0,1,0,0,0,2,,,,73.75%,996,15
2017-10-28,0,1,0,1,0,0,0,2,,,,73.75%,1038,16
2017-12-01,0,1,0,1,0,0,0,2,,,,,1038,16
2017-12-30,0,1,0,1,0,0,0,2,,,,73.75%,1038,16
2018-02-02,0,1,0,1,0,0,0,2,,,,73.72%,1038,16
2018-03-03,0,1,0,1,0,0,0,2,,,,73.72%,1038,16
2018-04-01,0,1,0,1,0,0,0,2,,,,73.72%,1038,16
2018-05-05,0,1,0,1,0,0,0,2,,,,73.72%,1038,16
2018-06-07,0,1,0,1,0,0,0,2,,,,73.72%,1038,16
2018-07-06,0,1,0,1,0,0,0,2,,,,73.72%,1038,16
2018-08-06,0,1,0,1,0,0,0,2,,,,73.72%,1038,16
2018-09-04,0,1,0,1,0,0,0,2,,,,72.46%,1121,17
2018-10-03,0,1,0,1,0,0,0,2,,,,72.39%,1128,17
2018-11-02,0,1,0,1,0,0,0,2,,,,72.39%,1128,17
2018-12-01,0,1,0,1,0,0,0,2,,,,72.39%,1128,17
2018-12-30,0,1,0,1,0,0,0,2,,,,72.52%,1141,18
2019-02-01,0,1,0,1,0,0,0,2,,,,72.52%,1141,18
2019-03-02,0,1,0,1,0,0,0,2,,,,72.52%,1141,18
2019-03-31,0,1,0,1,0,0,0,2,,,,72.47%,1137,18
2019-04-29,0,1,0,1,0,0,0,2,,,,72.53%,1140,18
2019-05-28,0,1,0,1,0,0,0,2,,,,72.46%,1143,18
2019-07-02,0,1,0,1,0,0,1,3,,,,73.83%,1161,18
2019-07-31,0,1,0,1,0,0,1,3,,,,74.74%,1159,18
2019-08-29,0,1,0,1,0,0,1,3,,,,74.74%,1159,18
2019-10-02,0,1,0,1,0,0,1,3,,,,74.74%,1159,18
2019-11-01,0,1,0,1,0,0,1,3,,,,74.74%,1159,18
2019-12-04,0,1,0,1,0,0,1,3,,,,74.74%,1159,18
2020-01-31,0,1,0,1,0,0,0,2,,,,73.48%,1171,18
2020-02-29,0,1,0,1,0,0,0,2,,,,73.16%,1171,18
2020-03-31,0,1,0,1,0,0,0,2,,,,73.16%,1171,18
2020-05-01,0,1,0,1,0,0,0,2,,,,73.16%,1171,18
2020-05-30,0,1,0,1,0,0,0,2,,,,73.16%,1171,18
2020-07-01,0,1,0,1,0,0,0,2,,,,71.67%,1181,18
2020-07-30,0,1,0,1,0,0,0,2,,,,71.67%,1181,18
2020-08-28,0,1,0,1,0,0,0,2,,,,71.67%,1181,18
2020-09-30,0,1,0,1,0,0,0,2,,,,71.67%,1181,18
2020-11-01,0,1,0,1,0,0,0,2,,,,71.67%,1181,18
2020-11-30,0,1,0,1,0,0,1,3,,,,72.54%,1178,18
2020-12-29,0,1,0,1,0,0,1,3,,,,72.54%,1185,18
2021-01-27,0,1,0,1,0,0,1,3,,,,72.54%,1185,18
2021-02-25,0,1,0,1,0,0,1,3,,,,72.54%,1185,18
2021-03-28,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-04-26,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-05-25,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-06-25,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-07-26,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-08-24,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-09-22,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-10-21,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2021-11-22,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-01-04,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-02-02,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-03-03,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-04-03,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-05-03,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-06-01,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-07-16,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-08-16,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-09-16,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-10-15,0,1,0,1,0,0,1,3,,,,72.74%,1188,18
2022-11-15,0,1,0,1,0,0,1,3,,,,73.10%,1187,18
2022-12-14,0,1,0,1,0,0,1,3,,,,73.10%,1187,18
2023-01-13,0,1,0,1,0,0,1,3,,,,58.40%,1414,20
2023-02-11,0,1,0,1,0,0,1,3,,,,58.40%,1414,20
2023-03-14,0,1,0,1,0,0,1,3,,,,58.40%,1414,20
2023-04-12,0,1,0,1,0,0,1,3,,,,58.28%,1416,20
