date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-07-06,0,0,0,1,0,0,0,1,,,,36.46%,161,6
2018-08-06,0,0,0,1,0,0,0,1,,,,36.46%,161,6
2018-09-04,0,0,0,1,0,0,0,1,,,,36.46%,161,6
2018-10-03,0,0,0,1,0,0,0,1,,,,43.60%,257,8
2018-11-02,0,0,0,1,0,0,0,1,,,,49.30%,238,7
2018-12-01,0,0,0,1,0,0,0,1,,,,50.27%,245,7
2018-12-30,0,0,0,1,0,0,0,1,,,,50.27%,245,7
2019-02-01,0,0,0,1,0,0,0,1,,,,50.27%,245,7
2019-03-02,0,0,0,1,0,0,0,1,,,,50.27%,245,7
2019-03-31,0,0,0,1,0,0,0,1,,,,50.27%,245,7
2019-04-29,0,0,0,1,0,0,0,1,,,,50.27%,246,7
2019-05-28,0,0,0,1,0,0,0,1,,,,50.27%,246,7
2019-07-02,0,0,0,1,0,0,0,1,,,,49.50%,246,7
2019-07-31,0,0,0,1,0,0,0,1,,,,49.50%,246,7
2019-08-29,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2019-10-02,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2019-11-01,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2019-12-04,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-01-31,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-02-29,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-03-31,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-05-01,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-05-30,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-07-01,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-07-30,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-08-28,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-09-30,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-11-01,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-11-30,0,0,0,1,0,0,0,1,,,,51.75%,261,7
2020-12-29,0,0,0,1,0,0,0,1,,,,49.84%,261,7
2021-01-27,0,0,0,1,0,0,0,1,,,,49.84%,261,7
2021-02-25,0,0,0,1,0,0,0,1,,,,49.84%,261,7
2021-03-28,0,0,0,1,0,0,0,1,,,,49.84%,261,7
2021-04-26,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2021-05-25,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2021-06-25,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2021-07-26,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2021-08-24,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2021-09-22,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2021-10-21,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2021-11-22,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2022-01-04,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2022-02-02,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2022-03-03,0,0,0,1,0,0,0,1,,,,48.76%,268,7
2022-04-03,0,0,0,1,0,0,0,1,,,,41.53%,316,9
2022-05-03,0,0,0,1,0,0,0,1,,,,38.39%,352,10
2022-06-01,0,0,0,1,0,0,0,1,,,,38.39%,352,10
2022-07-16,0,0,0,1,0,0,0,1,,,,38.39%,352,10
2022-08-16,0,0,0,1,0,0,0,1,,,,38.39%,352,10
2022-09-16,0,0,0,1,0,0,0,1,,,,35.44%,362,10
2022-10-15,0,0,0,1,0,0,0,1,,,,35.44%,362,10
2022-11-15,0,0,0,1,0,0,0,1,,,,35.44%,362,10
2022-12-14,0,0,0,1,0,0,0,1,,,,35.44%,362,10
2023-01-13,0,0,0,1,0,0,0,1,,,,35.44%,362,10
2023-02-11,0,0,0,1,0,0,0,1,,,,35.44%,362,10
2023-03-14,0,0,0,1,0,0,0,1,,,,36.02%,363,10
2023-04-12,0,0,0,1,0,0,0,1,,,,36.02%,363,10
