date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-10-09,0,0,0,0,0,0,0,0,,,,,9,1
2016-11-07,0,0,0,0,0,0,0,0,,,,,9,1
2016-12-06,0,0,0,0,0,0,0,0,,,,,9,1
2017-01-05,0,0,0,0,0,0,0,0,,,,,9,1
2017-02-03,0,0,0,0,0,0,0,0,,,,,9,1
2017-03-04,0,0,0,0,0,0,0,0,,,,,9,1
2017-04-04,0,0,0,0,0,0,0,0,,,,,9,1
2017-05-03,0,0,0,0,0,0,0,0,,,,,9,1
2017-06-03,0,0,0,0,0,0,0,0,,,,,26,1
2017-07-03,0,0,0,0,0,0,0,0,,,,,26,1
2017-08-01,0,0,0,0,0,0,0,0,,,,,26,1
2017-08-30,0,0,0,0,0,0,0,0,,,,,26,1
2017-09-28,0,0,0,0,0,0,0,0,,,,,26,1
2017-10-28,0,0,0,0,0,0,0,0,,,,,26,1
2017-12-01,0,0,0,0,0,0,0,0,,,,,26,1
2017-12-30,0,0,0,0,0,0,0,0,,,,,26,1
2018-02-02,0,0,0,0,0,0,0,0,,,,,26,1
2018-03-03,0,0,0,0,0,0,0,0,,,,,26,1
2018-04-01,0,0,0,0,0,0,0,0,,,,,26,1
2018-05-05,0,0,0,0,0,0,0,0,,,,,26,1
2018-06-07,0,0,0,0,0,0,1,1,,,,,37,1
2018-07-06,0,0,0,1,0,0,1,2,,,,41.76%,296,6
2018-08-06,0,0,0,1,0,0,1,2,,,,40.48%,297,6
2018-09-04,0,0,0,1,0,0,1,2,,,,35.53%,369,6
2018-10-03,0,0,0,1,0,0,1,2,,,,40.65%,536,8
2018-11-02,0,0,0,1,0,0,1,2,,,,40.38%,553,8
2018-12-01,0,0,0,1,0,0,1,2,,,,37.76%,601,8
2018-12-30,0,0,0,1,0,0,1,2,,,,37.76%,601,8
2019-02-01,0,0,0,1,0,0,1,2,,,,37.76%,601,8
2019-03-02,0,0,0,1,0,0,1,2,,,,38.27%,600,8
2019-03-31,0,0,0,1,0,0,1,2,,,,37.76%,612,8
2019-04-29,0,0,0,1,0,0,1,2,,,,37.30%,614,8
2019-05-28,0,0,0,1,0,0,1,2,,,,37.30%,614,8
2019-07-02,0,0,0,1,0,0,1,2,,,,41.74%,613,8
2019-07-31,0,0,0,1,0,0,1,2,,,,41.74%,613,8
2019-08-29,0,0,0,1,0,0,1,2,,,,41.42%,628,8
2019-10-02,0,0,0,1,0,0,1,2,,,,41.42%,628,8
2019-11-01,0,0,0,1,0,0,1,2,,,,41.42%,628,8
2019-12-04,0,0,0,1,0,0,1,2,,,,41.42%,628,8
2020-01-31,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-02-29,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-03-31,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-05-01,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-05-30,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-07-01,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-07-30,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-08-28,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-09-30,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-11-01,0,0,0,1,0,0,1,2,,,,43.25%,623,8
2020-11-30,0,0,0,1,0,0,1,2,,,,42.90%,626,8
2020-12-29,0,0,0,1,0,0,1,2,,,,41.54%,640,8
2021-01-27,0,0,0,1,0,0,1,2,,,,40.42%,655,8
2021-02-25,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-03-28,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-04-26,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-05-25,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-06-25,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-07-26,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-08-24,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-09-22,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-10-21,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2021-11-22,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2022-01-04,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2022-02-02,0,0,0,1,0,0,1,2,,,,40.82%,656,8
2022-03-03,0,0,0,1,0,0,1,2,,,,40.59%,657,8
2022-04-03,0,0,0,1,0,0,1,2,,,,13.34%,1914,16
2022-05-03,0,0,0,1,0,0,1,2,,,,12.35%,2055,16
2022-06-01,0,0,0,1,0,0,1,2,,,,12.35%,2055,16
2022-07-16,0,0,0,1,0,0,1,2,,,,12.32%,2057,16
2022-08-16,0,0,0,1,0,0,1,2,,,,9.37%,2610,23
2022-09-16,0,0,0,1,0,0,1,2,,,,9.37%,2610,23
2022-10-15,0,0,0,1,0,0,1,2,,,,9.22%,2625,23
2022-11-15,0,0,0,1,0,0,1,2,,,,9.08%,2647,23
2022-12-14,0,0,0,1,0,0,1,2,,,,9.08%,2647,23
2023-01-13,0,0,0,1,0,0,1,2,,,,8.57%,2750,23
2023-02-11,0,0,0,1,0,0,1,2,,,,8.66%,2833,23
2023-03-14,0,0,0,1,0,0,1,2,,,,8.59%,2853,23
2023-04-12,0,0,0,1,0,0,1,2,,,,8.59%,2853,23
