date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2017-10-28,0,0,0,1,0,0,0,1,,,,,141,11
2017-12-01,0,0,0,1,0,0,0,1,,,,,141,11
2017-12-30,0,0,0,1,0,0,0,1,,,,,141,11
2018-02-02,0,0,0,1,0,0,0,1,,,,,141,11
2018-03-03,0,0,0,1,0,0,0,1,,,,,141,11
2018-04-01,0,0,0,1,0,0,0,1,,,,,141,11
2018-05-05,0,0,0,1,0,0,0,1,,,,,141,11
2018-06-07,0,0,0,1,0,0,0,1,,,,,141,11
2018-07-06,0,0,0,1,0,0,0,1,,,,0.00%,141,11
2018-08-06,0,0,0,1,0,0,0,1,,,,0.00%,141,11
2018-09-04,0,0,0,1,0,0,0,1,,,,0.00%,141,11
2018-10-03,0,0,0,1,0,0,0,1,,,,0.00%,141,11
