date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-07-26,0,0,0,1,0,0,0,1,,,,,1437,12
2021-08-24,0,0,0,1,0,0,0,1,,,,,1437,12
2021-09-22,0,0,0,1,0,0,0,1,,,,,1437,12
2021-10-21,0,0,0,1,0,0,0,1,,,,,1437,12
2021-11-22,0,0,0,1,0,0,0,1,,,,,1516,13
2022-01-04,0,0,0,1,0,0,0,1,,,,,1516,13
2022-02-02,0,0,0,1,0,0,0,1,,,,,1516,13
2022-03-03,0,0,0,1,0,0,0,1,,,,,1516,13
2022-04-03,0,0,0,0,0,0,0,0,,,,,331,5
2022-05-03,0,0,0,0,0,0,0,0,,,,0.00%,331,5
2022-06-01,0,0,0,1,0,0,0,1,,,,0.00%,672,8
2022-07-16,0,0,0,1,0,0,0,1,,,,7.26%,691,8
2022-08-16,0,0,0,1,0,0,0,1,,,,7.26%,691,8
2022-09-16,0,0,0,1,0,0,0,1,,,,7.17%,697,8
2022-10-15,0,0,0,1,0,0,0,1,,,,9.49%,837,9
2022-11-15,0,0,0,1,0,0,1,2,,,,10.60%,886,9
2022-12-14,0,0,0,1,0,1,0,2,,,,8.15%,1137,13
2023-01-13,0,0,0,1,0,1,0,2,,,,8.40%,1137,13
2023-02-11,0,0,0,1,0,1,0,2,,,,8.41%,1137,13
2023-03-14,0,0,0,1,0,1,0,2,,,,8.65%,1161,13
2023-04-12,0,0,0,1,0,1,0,2,,,,9.12%,1221,13
