date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-07-26,0,1,0,0,0,0,1,2,,,,45.68%,117,4
2021-08-24,0,1,0,0,0,0,1,2,,,,64.94%,165,5
2021-09-22,0,1,0,0,0,0,1,2,,,,64.94%,165,5
2021-10-21,0,1,0,0,0,0,1,2,,,,64.94%,165,5
2021-11-22,0,1,0,0,0,0,1,2,,,,64.94%,165,5
2022-01-04,0,1,0,0,0,0,1,2,,,,64.94%,165,5
2022-02-02,0,1,0,0,0,0,1,2,,,,64.94%,165,5
2022-03-03,0,1,0,1,0,0,1,3,,,,10.71%,1488,14
2022-04-03,0,1,0,0,0,0,1,2,,,,65.10%,357,7
2022-05-03,0,1,0,0,0,0,1,2,,,,73.03%,427,7
2022-06-01,0,1,0,0,0,0,1,2,,,,73.03%,427,7
2022-07-16,0,1,0,0,0,0,1,2,,,,73.03%,431,7
2022-08-16,0,1,0,0,0,0,1,2,,,,73.03%,431,7
2022-09-16,0,1,0,0,0,0,1,2,,,,73.47%,422,7
2022-10-15,0,1,0,0,0,0,1,2,,,,72.77%,430,7
2022-11-15,0,1,0,1,0,0,1,3,,,,52.08%,576,9
2022-12-14,0,1,0,1,0,0,1,3,,,,44.64%,679,9
2023-01-13,0,1,0,1,0,1,1,4,,,,42.86%,688,9
2023-02-11,0,1,0,1,0,1,1,4,,,,41.12%,731,9
2023-03-14,0,1,0,1,0,1,1,4,,,,41.00%,749,9
2023-04-12,0,1,0,1,0,1,1,4,,,,40.50%,776,9
