date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-10-09,0,0,0,1,0,0,0,1,,,,33.60%,508,7
2016-11-07,0,0,0,1,0,0,0,1,,,,32.26%,522,7
2016-12-06,0,0,0,1,0,0,0,1,,,,32.26%,522,7
2017-01-05,0,0,0,1,0,0,0,1,,,,32.18%,524,7
2017-02-03,0,0,0,1,0,0,0,1,,,,65.52%,346,6
2017-03-04,0,0,0,1,0,0,0,1,,,,65.52%,346,6
2017-04-04,0,0,0,0,0,0,0,0,,,,66.46%,340,5
2017-05-03,0,0,0,0,0,0,0,0,,,,66.46%,352,5
2017-06-03,0,0,0,0,0,0,0,0,,,,66.46%,390,5
2017-07-03,0,0,0,0,0,0,0,0,,,,66.46%,396,5
2017-08-01,0,0,0,0,0,0,0,0,,,,,422,5
2017-08-30,0,0,0,0,0,0,0,0,,,,61.16%,451,5
2017-09-28,0,0,0,0,0,0,0,0,,,,61.16%,451,5
2017-10-28,0,0,0,0,0,0,0,0,,,,61.16%,450,5
2017-12-01,0,0,0,0,0,0,0,0,,,,,459,5
2017-12-30,0,0,0,0,0,0,0,0,,,,62.21%,468,5
2018-02-02,0,0,0,0,0,0,0,0,,,,62.21%,468,5
2018-03-03,0,0,0,0,0,0,0,0,,,,62.21%,468,5
2018-04-01,0,0,0,1,0,0,0,1,,,,62.90%,533,8
2018-05-05,0,0,0,1,0,0,0,1,,,,62.90%,533,8
2018-06-07,0,0,0,1,0,0,0,1,,,,62.73%,539,8
2018-07-06,0,0,0,1,0,0,0,1,,,,62.73%,539,8
2018-08-06,0,0,0,1,0,0,0,1,,,,62.73%,539,8
2018-09-04,0,0,0,1,0,0,0,1,,,,58.24%,568,8
2018-10-03,0,0,0,1,0,0,0,1,,,,57.97%,572,8
2018-11-02,0,0,0,1,0,0,0,1,,,,57.97%,572,8
2018-12-01,0,0,0,1,0,0,0,1,,,,57.97%,572,8
2018-12-30,0,0,0,1,0,0,0,1,,,,57.97%,572,8
2019-02-01,0,0,0,1,0,0,0,1,,,,57.97%,572,8
2019-03-02,0,0,0,1,0,0,0,1,,,,57.97%,572,8
2019-03-31,0,0,0,1,0,0,0,1,,,,57.97%,572,8
2019-04-29,0,0,0,1,0,0,0,1,,,,55.16%,649,8
2019-05-28,0,0,0,1,0,0,0,1,,,,51.12%,762,8
2019-07-02,0,0,0,1,0,0,0,1,,,,51.15%,762,8
2019-07-31,0,0,0,1,0,0,0,1,,,,51.15%,762,8
2019-08-29,0,0,0,0,0,0,0,0,,,,50.70%,1188,11
2019-10-02,0,0,0,0,0,0,0,0,,,,50.70%,1188,11
2019-11-01,0,0,0,0,0,0,0,0,,,,50.70%,1188,11
2019-12-04,0,0,0,0,0,0,0,0,,,,50.70%,1188,11
2020-01-31,0,0,0,0,0,0,0,0,,,,50.70%,1188,11
2020-02-29,0,0,0,0,0,0,0,0,,,,50.70%,1188,11
2020-03-31,0,0,0,0,0,0,0,0,,,,50.70%,1202,11
2020-05-01,0,0,0,0,0,0,0,0,,,,50.70%,1202,11
2020-05-30,0,0,0,0,0,0,0,0,,,,50.86%,1225,11
2020-07-01,0,0,0,0,0,0,0,0,,,,50.86%,1225,11
2020-07-30,0,0,0,0,0,0,0,0,,,,50.86%,1225,11
2020-08-28,0,0,0,0,0,0,0,0,,,,50.86%,1237,11
2020-09-30,0,0,0,0,0,0,0,0,,,,50.86%,1237,11
2020-11-01,0,0,0,0,0,0,0,0,,,,50.86%,1237,11
2020-11-30,0,0,0,0,0,0,0,0,,,,51.09%,1280,11
2020-12-29,0,0,0,0,0,0,0,0,,,,51.09%,1280,11
2021-01-27,0,0,0,0,0,0,0,0,,,,50.79%,1282,11
2021-02-25,0,0,0,0,0,0,0,0,,,,49.94%,1284,11
2021-03-28,0,0,0,0,0,0,0,0,,,,49.94%,1284,11
2021-04-26,0,0,0,0,0,0,0,0,,,,49.94%,1284,11
2021-05-25,0,0,0,0,0,0,0,0,,,,49.94%,1284,11
2021-06-25,0,0,0,0,0,0,0,0,,,,49.94%,1284,11
2021-07-26,0,0,0,0,0,0,0,0,,,,50.13%,1300,11
2021-08-24,0,0,0,0,0,0,0,0,,,,50.13%,1314,11
2021-09-22,0,0,0,0,0,0,0,0,,,,50.13%,1314,11
2021-10-21,0,0,0,0,0,0,0,0,,,,50.13%,1314,11
2021-11-22,0,0,0,0,0,0,0,0,,,,50.13%,1379,11
2022-01-04,0,0,0,0,0,0,0,0,,,,50.13%,1379,11
2022-02-02,0,0,0,0,0,0,0,0,,,,50.13%,1389,11
2022-03-03,0,0,0,0,0,0,0,0,,,,50.13%,1431,11
2022-04-03,0,0,0,0,0,2,0,2,,,,55.62%,1841,12
2022-05-03,0,0,0,0,0,2,0,2,,,,55.62%,1841,12
2022-06-01,0,0,0,0,0,2,0,2,,,,55.51%,1841,12
2022-07-16,0,0,0,0,0,0,0,0,,,,58.83%,2041,14
2022-08-16,0,0,0,0,0,0,0,0,,,,58.83%,2041,14
2022-09-16,0,0,0,0,0,0,0,0,,,,58.64%,2050,14
2022-10-15,0,0,0,0,0,0,0,0,,,,55.70%,2091,14
2022-11-15,0,0,0,0,0,0,0,0,,,,55.78%,2091,14
2022-12-14,0,0,0,0,0,0,0,0,,,,52.91%,2172,14
2023-01-13,0,0,0,0,0,0,0,0,,,,51.15%,2281,14
2023-02-11,0,0,0,0,0,0,0,0,,,,53.10%,2281,14
2023-03-14,0,0,0,0,0,0,0,0,,,,46.24%,2441,16
2023-04-12,0,0,0,0,0,0,0,0,,,,46.14%,2443,16
