date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-10-09,0,0,0,0,0,0,0,0,,,,40.47%,132,4
2016-11-07,0,0,0,1,0,0,0,1,,,,32.67%,159,7
2016-12-06,0,0,0,1,0,0,0,1,,,,32.67%,159,7
2017-01-05,0,0,0,1,0,0,0,1,,,,32.80%,158,7
2017-02-03,0,0,0,1,0,0,0,1,,,,26.70%,236,8
2017-03-04,0,0,0,1,0,0,0,1,,,,0.00%,687,13
2017-04-04,0,0,0,1,0,0,0,1,,,,0.00%,749,13
2017-05-03,0,0,0,1,0,0,0,1,,,,0.00%,749,13
2017-06-03,0,0,0,1,0,0,0,1,,,,0.00%,778,13
2017-07-03,0,0,0,1,0,0,0,1,,,,0.00%,780,13
2017-08-01,0,0,0,1,0,0,0,1,,,,,755,12
2017-08-30,0,0,0,1,0,0,0,1,,,,0.00%,755,12
2017-09-28,0,0,0,1,0,0,0,1,,,,0.00%,493,9
2017-10-28,0,0,0,1,0,1,0,2,,,,4.89%,509,10
2017-12-01,0,0,0,1,0,1,0,2,,,,,629,18
2017-12-30,0,0,0,1,0,1,0,2,,,,35.44%,629,18
2018-02-02,0,0,0,1,0,0,0,1,,,,35.56%,629,18
2018-03-03,0,0,0,1,0,0,0,1,,,,37.16%,676,18
2018-04-01,0,0,0,1,0,0,0,1,,,,37.16%,676,18
2018-05-05,0,0,0,1,0,0,0,1,,,,37.16%,676,18
2018-06-07,0,0,0,1,0,0,0,1,,,,39.17%,714,18
2018-07-06,0,0,0,1,0,0,0,1,,,,35.67%,711,17
2018-08-06,0,0,0,1,0,0,0,1,,,,35.67%,711,17
2018-09-04,0,0,0,1,0,0,0,1,,,,34.40%,724,17
2018-10-03,0,0,0,1,0,0,0,1,,,,33.82%,726,17
2018-11-02,0,0,0,1,0,0,0,1,,,,33.82%,726,17
2018-12-01,0,0,0,1,0,0,0,1,,,,33.76%,730,17
2018-12-30,0,0,0,1,0,0,0,1,,,,33.76%,730,17
2019-02-01,0,0,0,1,0,0,0,1,,,,33.31%,734,17
2019-03-02,0,0,0,1,0,0,0,1,,,,31.64%,827,19
2019-03-31,0,0,0,1,0,1,0,2,,,,29.89%,865,19
2019-04-29,0,0,0,1,0,1,0,2,,,,39.91%,1100,22
2019-05-28,0,0,0,1,0,1,0,2,,,,39.91%,1100,22
2019-07-02,0,0,0,1,0,1,0,2,,,,44.38%,1283,24
