date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-10-09,0,0,0,0,0,0,0,0,,,,9.66%,96,4
2016-11-07,0,0,0,0,0,0,0,0,,,,15.89%,135,4
2016-12-06,0,0,0,0,0,0,0,0,,,,15.89%,136,4
2017-01-05,0,0,0,1,0,0,0,1,,,,39.47%,269,6
2017-02-03,0,0,0,1,0,0,0,1,,,,30.79%,547,10
2017-03-04,0,0,0,1,0,0,0,1,,,,30.79%,547,10
2017-04-04,0,0,0,1,0,0,0,1,,,,33.45%,568,10
2017-05-03,0,0,0,1,0,0,0,1,,,,23.51%,724,11
2017-06-03,0,0,0,1,0,0,0,1,,,,23.67%,737,11
2017-07-03,0,0,0,1,0,0,0,1,,,,23.67%,738,11
2017-08-01,0,0,0,1,0,0,0,1,,,,,881,16
2017-08-30,0,0,0,1,0,0,0,1,,,,28.14%,889,16
2017-09-28,0,0,0,1,0,0,0,1,,,,28.14%,889,16
2017-10-28,0,0,0,1,0,0,0,1,,,,26.51%,957,18
2017-12-01,0,0,0,1,0,0,0,1,,,,,958,18
2017-12-30,0,0,0,1,0,0,0,1,,,,26.46%,967,19
2018-02-02,0,0,0,1,0,0,0,1,,,,25.79%,1020,20
2018-03-03,0,0,0,1,0,0,0,1,,,,25.79%,1022,20
2018-04-01,0,0,0,1,0,0,0,1,,,,22.11%,1213,20
2018-05-05,0,0,0,1,0,0,0,1,,,,22.11%,1213,20
2018-06-07,0,0,0,1,0,0,0,1,,,,21.91%,1224,20
2018-07-06,0,0,0,1,0,0,0,1,,,,24.26%,1266,21
2018-08-06,0,0,0,1,0,0,0,1,,,,24.26%,1266,21
2018-09-04,0,0,0,1,0,0,0,1,,,,24.20%,1277,21
2018-10-03,0,0,0,1,0,0,0,1,,,,15.22%,2321,24
2018-11-02,0,0,0,1,0,0,0,1,,,,15.22%,2321,24
2018-12-01,0,0,0,1,0,0,0,1,,,,15.22%,2323,24
2018-12-30,0,0,0,1,0,0,0,1,,,,14.66%,2448,24
2019-02-01,0,0,0,1,0,0,0,1,,,,14.66%,2448,24
2019-03-02,0,0,0,1,0,0,0,1,,,,14.66%,2448,24
2019-03-31,0,0,0,1,0,0,0,1,,,,14.66%,2449,24
2019-04-29,0,0,0,1,0,0,1,2,,,,14.66%,2440,23
2019-05-28,0,0,0,1,0,0,1,2,,,,14.66%,2440,23
2019-07-02,0,0,0,1,0,0,1,2,,,,17.84%,2594,25
2019-07-31,0,0,0,1,0,0,1,2,,,,17.84%,2594,25
2019-08-29,0,0,0,1,0,0,1,2,,,,17.84%,2596,25
2019-10-02,0,0,0,1,0,0,1,2,,,,17.84%,2596,25
2019-11-01,0,0,0,1,0,0,1,2,,,,17.84%,2596,25
2019-12-04,0,0,0,1,0,0,1,2,,,,17.84%,2596,25
2020-01-31,0,0,0,1,0,0,1,2,,,,17.84%,2596,25
2020-02-29,0,0,0,1,0,0,1,2,,,,17.84%,2598,25
2020-03-31,0,0,0,1,0,0,1,2,,,,17.84%,2598,25
2020-05-01,0,0,0,1,0,0,1,2,,,,17.84%,2598,25
2020-05-30,0,0,0,1,0,0,1,2,,,,18.02%,2607,25
2020-07-01,0,0,0,1,0,0,1,2,,,,18.02%,2607,25
2020-07-30,0,0,0,1,0,0,1,2,,,,18.02%,2607,25
2020-08-28,0,0,0,1,0,0,1,2,,,,18.02%,2607,25
2020-09-30,0,0,0,1,0,0,1,2,,,,18.02%,2607,25
2020-11-01,0,0,0,1,0,0,1,2,,,,18.02%,2608,25
2020-11-30,0,0,0,1,0,0,1,2,,,,18.02%,2611,25
2020-12-29,0,0,0,1,0,0,1,2,,,,16.06%,2534,23
2021-01-27,0,0,0,1,0,0,1,2,,,,16.97%,2567,25
2021-02-25,0,0,0,1,0,0,1,2,,,,16.88%,2589,25
2021-03-28,0,0,0,1,1,0,1,3,,,,13.06%,3395,31
2021-04-26,0,0,0,1,1,0,1,3,,,,13.06%,3395,31
2021-05-25,0,0,0,1,1,0,1,3,,,,13.06%,3395,31
2021-06-25,0,0,0,1,0,0,1,2,,,,13.09%,3392,30
2021-07-26,0,0,0,1,0,0,1,2,,,,13.09%,3394,30
2021-08-24,0,0,0,1,0,0,1,2,,,,13.09%,3394,30
2021-09-22,0,0,0,1,0,0,1,2,,,,13.09%,3394,30
2021-10-21,0,0,0,1,1,0,1,3,,,,14.00%,3467,32
2021-11-22,0,0,0,1,1,0,1,3,,,,14.00%,3467,32
2022-01-04,0,0,0,1,1,0,1,3,,,,14.00%,3467,32
2022-02-02,0,0,0,1,1,0,1,3,,,,14.00%,3467,32
2022-03-03,0,0,0,1,1,0,1,3,,,,13.93%,3484,32
2022-04-03,0,0,0,1,1,0,1,3,,,,13.93%,3487,32
2022-05-03,0,0,0,1,1,0,1,3,,,,14.19%,3487,32
2022-06-01,0,0,0,1,1,0,1,3,,,,14.19%,3487,32
2022-07-16,0,0,0,1,1,0,1,3,,,,13.93%,3487,32
2022-08-16,0,0,0,1,1,0,1,3,,,,13.93%,3488,32
2022-09-16,0,0,0,1,1,0,1,3,,,,14.19%,3488,32
2022-10-15,0,0,0,1,1,0,1,3,,,,14.55%,3530,32
2022-11-15,0,0,0,1,1,0,1,3,,,,15.04%,3534,32
2022-12-14,0,0,0,1,1,0,1,3,,,,15.04%,3534,32
2023-01-13,0,0,0,1,1,0,1,3,,,,14.61%,3581,33
2023-02-11,0,0,0,1,1,0,1,3,,,,14.61%,3581,33
2023-03-14,0,0,0,1,1,0,1,3,,,,14.83%,3607,33
2023-04-12,0,0,0,1,1,0,1,3,,,,15.09%,3630,33
