date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2017-02-03,0,0,0,0,0,3,0,3,,,,58.44%,467,4
2017-03-04,0,0,0,0,0,3,0,3,,,,58.44%,467,4
2017-04-04,0,0,0,0,0,3,0,3,,,,58.44%,467,4
2017-05-03,0,0,0,0,0,3,0,3,,,,58.44%,467,4
2017-06-03,0,0,0,0,0,3,0,3,,,,58.44%,479,4
2017-07-03,0,0,0,0,0,3,0,3,,,,58.44%,479,4
2017-08-01,0,0,0,0,0,0,0,0,,,,,479,4
2017-08-30,0,0,0,0,0,3,0,3,,,,58.44%,479,4
2017-09-28,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2017-10-28,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2017-12-01,0,0,0,0,0,2,0,2,,,,,339,4
2017-12-30,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-02-02,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-03-03,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-04-01,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-05-05,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-06-07,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-07-06,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-08-06,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-09-04,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-10-03,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-11-02,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-12-01,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2018-12-30,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2019-02-01,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2019-03-02,0,0,0,0,0,2,0,2,,,,60.79%,339,4
2019-03-31,0,0,0,0,0,2,0,2,,,,60.79%,334,4
2019-04-29,0,0,0,0,0,2,0,2,,,,60.79%,334,4
2019-05-28,0,0,0,0,0,2,0,2,,,,60.79%,334,4
2019-07-02,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2019-07-31,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2019-08-29,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2019-10-02,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2019-11-01,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2019-12-04,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-01-31,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-02-29,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-03-31,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-05-01,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-05-30,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-07-01,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-07-30,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-08-28,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-09-30,0,0,0,0,0,2,0,2,,,,59.57%,334,4
2020-11-01,0,0,0,0,0,2,0,2,,,,59.57%,334,4
