date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-04-20,0,4,0,1,0,0,1,6,,,,63.00%,1618,20
2016-05-19,0,4,0,1,0,0,1,6,,,,63.00%,1618,20
2016-06-17,0,4,0,1,0,0,1,6,,,,63.00%,1618,20
2016-07-18,0,4,0,1,0,0,1,6,,,,63.00%,1618,20
2016-08-16,0,4,0,1,0,0,1,6,,,,62.77%,1626,20
2016-09-22,0,4,0,1,0,0,1,6,,,,62.77%,1626,20
2016-10-25,0,4,0,1,0,0,1,6,,,,62.77%,1626,20
2016-11-25,0,4,0,1,0,0,1,6,,,,62.77%,1626,20
2017-01-12,0,4,0,1,0,0,1,6,,,,62.77%,1626,20
2017-02-11,0,4,0,1,0,0,1,6,,,,62.77%,1626,20
2017-03-20,0,4,0,1,0,0,1,6,,,,62.77%,1626,20
2017-04-26,0,4,0,1,0,0,1,6,,,,62.75%,1628,20
2017-05-25,0,4,0,1,0,0,1,6,,,,62.75%,1628,20
2017-06-26,0,4,0,1,0,0,1,6,,,,62.75%,1628,20
2017-08-02,0,4,0,1,0,0,1,6,,,,62.75%,1628,20
2017-08-31,0,4,0,1,0,0,1,6,,,,62.75%,1628,20
2017-10-17,0,4,0,1,0,0,1,6,,,,62.41%,1659,20
2017-11-15,0,4,0,1,0,0,1,6,,,,62.41%,1659,20
2017-12-14,0,4,0,1,0,0,1,6,,,,62.37%,1666,20
2018-01-16,0,4,0,1,0,0,1,6,,,,62.37%,1666,20
2018-03-21,0,4,0,1,0,0,1,6,,,,62.37%,1666,20
2018-04-26,0,4,0,1,0,0,1,6,,,,62.37%,1666,20
2018-05-25,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2018-07-10,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2018-08-13,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2018-11-01,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2018-12-02,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2019-01-31,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2019-04-03,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2019-05-09,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2019-06-10,0,4,0,1,0,0,1,6,,,,62.38%,1676,20
2019-07-24,0,4,0,1,0,0,1,6,,,,62.26%,1690,20
2019-09-03,0,4,0,1,0,0,1,6,,,,62.26%,1690,20
2019-11-04,0,4,0,1,0,0,1,6,,,,62.26%,1690,20
2019-12-05,0,4,0,1,0,0,1,6,,,,62.26%,1690,20
2020-01-09,0,4,0,1,0,0,1,6,,,,62.24%,1690,20
2020-02-11,0,4,0,1,0,0,1,6,,,,62.19%,1697,20
2020-03-16,0,4,0,1,0,0,1,6,,,,62.19%,1697,20
2020-05-21,0,4,0,1,0,0,1,6,,,,62.19%,1697,20
2020-08-04,0,4,0,1,0,0,1,6,,,,62.19%,1697,20
2020-09-02,0,4,0,1,0,0,1,6,,,,62.19%,1697,20
2020-11-03,0,4,0,1,0,0,1,6,,,,61.56%,1686,20
2020-12-02,0,4,0,1,0,0,1,6,,,,61.56%,1686,20
2021-02-02,0,4,0,1,0,0,1,6,,,,61.56%,1686,20
2021-03-19,0,4,0,1,0,0,1,6,,,,61.56%,1686,20
2021-04-22,0,4,0,1,0,0,1,6,,,,61.56%,1686,20
2021-08-30,0,4,0,1,0,0,1,6,,,,61.56%,1686,20
2021-10-25,0,4,0,1,0,0,1,6,,,,61.56%,1686,20
2021-11-26,0,4,0,0,0,0,1,5,,,,62.37%,1785,21
2022-01-07,0,4,0,0,0,0,1,5,,,,62.37%,1785,21
2022-03-31,0,4,0,0,0,0,1,5,,,,62.37%,1785,21
2022-05-26,0,4,0,0,0,0,1,5,,,,62.37%,1785,21
2022-06-24,0,4,0,0,0,0,1,5,,,,62.37%,1785,21
2022-07-25,0,4,0,0,0,0,1,5,,,,62.37%,1785,21
2022-09-03,0,4,0,0,0,0,1,5,,,,63.07%,1864,21
2022-10-13,0,4,0,0,0,0,1,5,,,,62.25%,1853,21
2022-11-24,0,4,0,1,0,0,1,6,,,,62.97%,1903,23
2022-12-23,0,4,0,1,0,0,1,6,,,,62.97%,1903,23
2023-02-14,0,4,0,1,0,0,1,6,,,,59.44%,2131,24
2023-03-31,0,4,0,1,0,0,1,6,,,,59.44%,2131,24
2023-05-04,0,4,0,1,0,0,1,6,,,,59.44%,2131,24
