date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-11-26,0,0,0,1,0,0,0,1,,,,72.06%,926,14
2022-01-07,0,0,0,1,0,0,0,1,,,,72.69%,923,14
2022-03-31,0,0,0,1,0,0,0,1,,,,72.69%,923,14
2022-05-26,0,0,0,1,0,0,0,1,,,,72.69%,923,14
2022-06-24,0,0,0,1,0,0,0,1,,,,72.69%,923,14
2022-07-25,0,0,0,1,0,0,0,1,,,,72.69%,923,14
2022-09-03,0,0,0,1,0,0,0,1,,,,70.68%,967,14
2022-10-13,0,0,0,1,0,0,0,1,,,,70.68%,967,14
2022-11-24,0,0,0,1,0,0,0,1,,,,70.68%,967,14
2022-12-23,0,0,0,1,0,0,0,1,,,,70.68%,967,14
2023-02-14,0,0,0,1,0,0,0,1,,,,70.68%,967,14
2023-03-31,0,0,0,1,0,0,0,1,,,,70.68%,967,14
2023-05-04,0,0,0,1,0,0,0,1,,,,70.68%,967,14
