date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2016-04-20,0,0,0,1,0,0,0,1,,,,66.40%,1832,23
2016-05-19,0,0,0,1,0,0,0,1,,,,66.28%,1832,23
2016-06-17,0,0,0,1,0,0,0,1,,,,63.68%,1832,23
2016-07-18,0,0,0,1,0,0,0,1,,,,66.71%,1832,23
2016-08-16,0,0,0,1,0,0,0,1,,,,,1826,23
2016-09-22,0,0,0,1,0,0,0,1,,,,,1826,23
2016-10-25,0,0,0,1,0,0,0,1,,,,,1826,23
2016-11-25,0,0,0,1,0,0,0,1,,,,,1826,23
2017-01-12,0,0,0,1,0,0,0,1,,,,,1826,23
2017-02-11,0,0,0,1,0,0,0,1,,,,,1826,23
2017-03-20,0,0,0,1,0,0,0,1,,,,,1826,23
2017-04-26,0,0,0,1,0,0,0,1,,,,,1826,23
2017-05-25,0,0,0,1,0,0,0,1,,,,,1826,23
2017-06-26,0,0,0,1,0,0,0,1,,,,,1826,23
2017-08-02,0,0,0,1,0,0,0,1,,,,66.53%,1850,23
2017-08-31,0,0,0,1,0,0,0,1,,,,63.90%,1850,23
2017-10-17,0,0,0,1,0,0,0,1,,,,62.45%,1605,21
2017-11-15,0,0,0,1,0,0,0,1,,,,59.18%,1605,21
2017-12-14,0,0,0,1,0,0,0,1,,,,62.75%,1605,21
2018-01-16,0,0,0,1,0,0,0,1,,,,61.98%,1605,21
2018-03-21,0,0,0,1,0,0,0,1,,,,63.89%,1609,21
2018-04-26,0,0,0,1,0,0,0,1,,,,62.35%,1609,21
2018-05-25,0,0,0,1,0,0,0,1,,,,63.89%,1609,21
2018-07-10,0,0,0,1,0,0,0,1,,,,62.35%,1609,21
2018-08-13,0,0,0,1,0,0,0,1,,,,62.35%,1609,21
2018-11-01,0,0,0,1,0,0,0,1,,,,61.89%,1609,21
2018-12-02,0,0,0,1,0,0,0,1,,,,63.89%,1609,21
2019-01-31,0,0,0,1,0,0,0,1,,,,63.95%,1654,21
2019-04-03,0,0,0,1,0,0,0,1,,,,65.82%,1654,21
2019-05-09,0,0,0,1,0,0,0,1,,,,66.98%,1659,21
2019-06-10,0,0,0,1,0,0,0,1,,,,65.21%,1682,21
2019-07-24,0,0,0,1,0,0,0,1,,,,63.16%,1737,21
2019-09-03,0,0,0,1,0,0,0,1,,,,63.15%,1729,21
2019-11-04,0,0,0,1,0,0,0,1,,,,62.71%,1729,21
2019-12-05,0,0,0,1,0,0,0,1,,,,63.15%,1729,21
2020-01-09,0,0,0,1,0,0,0,1,,,,63.11%,1729,21
2020-02-11,0,0,0,1,0,0,0,1,,,,60.46%,1729,21
2020-03-16,0,0,0,1,0,0,0,1,,,,63.11%,1729,21
2020-05-21,0,0,0,1,0,0,0,1,,,,63.02%,1729,21
2020-08-04,0,0,0,1,0,0,0,1,,,,60.37%,1729,21
2020-09-02,0,0,0,1,0,0,0,1,,,,63.02%,1729,21
2020-11-03,0,0,0,1,0,0,0,1,,,,60.39%,1733,21
2020-12-02,0,0,0,1,0,0,0,1,,,,62.59%,1733,21
2021-02-02,0,0,0,1,0,0,0,1,,,,63.03%,1733,21
2021-03-19,0,0,0,1,0,0,0,1,,,,60.02%,1735,21
2021-04-22,0,0,0,1,0,0,0,1,,,,62.66%,1735,21
2021-08-30,0,0,0,1,0,0,0,1,,,,60.46%,1735,21
2021-10-25,0,0,0,1,0,0,0,1,,,,60.02%,1735,21
2021-11-26,0,0,0,1,0,0,0,1,,,,60.02%,1735,21
2022-01-07,0,0,0,1,0,0,0,1,,,,60.14%,1735,21
2022-03-31,0,0,0,1,0,0,0,1,,,,62.77%,1735,21
2022-05-26,0,0,0,1,0,0,0,1,,,,62.33%,1735,21
2022-06-24,0,0,0,1,0,0,0,1,,,,62.77%,1735,21
2022-07-25,0,0,0,1,0,0,0,1,,,,60.14%,1735,21
2022-09-03,0,0,0,1,0,0,0,1,,,,63.05%,1741,21
2022-10-13,0,0,0,1,0,0,0,1,,,,60.27%,1747,21
2022-11-24,0,0,0,1,0,0,0,1,,,,63.89%,1747,21
2022-12-23,0,0,0,1,0,0,0,1,,,,60.46%,1746,21
2023-02-14,0,0,0,1,0,0,0,1,,,,60.42%,1752,21
2023-03-31,0,0,0,1,0,0,0,1,,,,63.62%,1752,21
2023-05-04,0,0,0,1,0,0,0,1,,,,64.21%,1750,21
