date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2017-12-14,0,0,0,1,0,0,0,1,,,,57.13%,1216,15
2018-01-16,0,0,0,1,0,0,0,1,,,,55.99%,1216,15
2018-03-21,0,0,0,1,0,0,0,1,,,,56.59%,1216,15
2018-04-26,0,0,0,1,0,0,0,1,,,,56.92%,1221,15
2018-05-25,0,0,0,1,0,0,0,1,,,,60.34%,1271,16
2018-07-10,0,0,0,1,0,0,0,1,,,,59.87%,1271,16
2018-08-13,0,0,0,1,0,0,0,1,,,,60.25%,1271,16
2018-11-01,0,0,0,1,0,0,0,1,,,,58.95%,1271,16
2018-12-02,0,0,0,1,0,0,0,1,,,,60.84%,1271,16
2019-01-31,0,0,0,1,0,0,0,1,,,,61.50%,1350,16
2019-04-03,0,0,0,1,0,0,0,1,,,,63.19%,1350,16
2019-05-09,0,0,0,1,0,0,0,1,,,,64.23%,1352,16
2019-06-10,0,0,0,1,0,0,0,1,,,,61.62%,1352,16
2019-07-24,0,0,0,1,0,0,0,1,,,,60.18%,1403,16
2019-09-03,0,0,0,1,0,0,0,1,,,,60.55%,1391,16
2019-11-04,0,0,0,1,0,0,0,1,,,,61.50%,1391,16
2019-12-05,0,0,0,1,0,0,0,1,,,,62.72%,1391,16
2020-01-09,0,0,0,1,0,0,0,1,,,,62.72%,1391,16
2020-02-11,0,0,0,1,0,0,0,1,,,,62.72%,1391,16
2020-03-16,0,0,0,1,0,0,0,1,,,,61.56%,1391,16
2020-05-21,0,0,0,1,0,0,0,1,,,,62.68%,1391,16
2020-08-04,0,0,0,1,0,0,0,1,,,,62.65%,1391,16
2020-09-02,0,0,0,1,0,0,0,1,,,,62.49%,1504,19
2020-11-03,0,0,0,1,0,0,0,1,,,,63.73%,1508,19
2020-12-02,0,0,0,1,0,0,0,1,,,,62.00%,1508,19
2021-02-02,0,0,0,1,0,0,0,1,,,,62.50%,1508,19
2021-03-19,0,0,0,1,0,0,0,1,,,,62.56%,1510,19
2021-04-22,0,0,0,1,0,0,0,1,,,,62.62%,1510,19
2021-08-30,0,0,0,1,0,0,0,1,,,,62.12%,1510,19
2021-10-25,0,0,0,1,0,0,0,1,,,,63.35%,1510,19
2021-11-26,0,0,0,1,0,0,0,1,,,,62.18%,1510,19
2022-01-07,0,0,0,1,0,0,0,1,,,,62.23%,1510,19
2022-03-31,0,0,0,1,0,0,0,1,,,,61.85%,1512,19
2022-05-26,0,0,0,1,0,0,0,1,,,,63.02%,1512,19
2022-06-24,0,0,0,1,0,0,0,1,,,,62.29%,1512,19
2022-07-25,0,0,0,1,0,0,0,1,,,,62.99%,1512,19
2022-09-03,0,0,0,1,0,0,0,1,,,,63.77%,1521,19
2022-10-13,0,0,0,1,0,0,0,1,,,,63.37%,1474,18
2022-11-24,0,0,0,1,0,0,0,1,,,,62.21%,1474,18
2022-12-23,0,0,0,1,0,0,0,1,,,,61.71%,1513,18
2023-02-14,0,0,0,1,0,0,0,1,,,,65.19%,1519,18
2023-03-31,0,0,0,1,0,0,0,1,,,,63.11%,1519,18
2023-05-04,0,0,0,1,0,0,0,1,,,,62.14%,1515,18
