date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,0,0,0,0,0,0,0,,,,86.96%,216,4
2019-06-06,0,0,0,0,0,0,0,0,,,,88.00%,224,4
2019-07-05,0,0,0,0,0,0,0,0,,,,88.00%,224,4
2019-08-03,0,0,0,0,0,0,0,0,,,,88.00%,224,4
2019-09-02,0,0,0,0,0,0,0,0,,,,88.00%,224,4
2019-10-07,0,0,0,0,0,0,0,0,,,,88.00%,224,4
2019-11-05,0,0,0,0,0,0,0,0,,,,88.00%,224,4
2019-12-06,0,0,0,0,0,0,0,0,,,,88.00%,224,4
2020-01-06,0,0,0,0,0,0,0,0,,,,88.00%,221,4
2020-02-04,0,0,0,0,0,0,0,0,,,,88.00%,221,4
2020-03-04,0,0,0,0,0,0,0,0,,,,88.00%,229,4
2020-04-03,0,0,0,0,0,0,0,0,,,,88.00%,233,4
2020-05-02,0,0,0,0,0,0,0,0,,,,88.00%,239,4
2020-05-31,0,0,0,0,0,0,0,0,,,,88.00%,239,4
2020-06-29,0,0,0,0,0,0,0,0,,,,88.00%,239,4
2020-07-28,0,0,0,0,0,0,0,0,,,,88.00%,239,4
2020-08-28,0,0,0,0,0,0,0,0,,,,75.86%,303,5
2020-10-01,0,0,0,0,0,0,0,0,,,,84.62%,307,5
2020-10-30,0,0,0,1,0,0,0,1,,,,84.62%,342,6
2020-12-05,0,0,0,1,0,0,0,1,,,,84.62%,342,6
2021-01-04,0,0,0,1,0,0,0,1,,,,84.62%,356,6
2021-02-02,0,0,0,1,0,0,0,1,,,,84.62%,377,6
2021-03-04,0,0,0,1,0,0,0,1,,,,84.62%,377,6
2021-04-07,0,0,0,1,0,0,0,1,,,,84.62%,381,6
2021-05-06,0,0,0,1,0,0,0,1,,,,84.62%,381,6
2021-06-11,0,0,0,1,0,0,0,1,,,,94.83%,395,6
2021-07-12,0,0,0,1,0,0,0,1,,,,94.83%,395,6
2021-08-10,0,0,0,1,0,0,0,1,,,,94.83%,395,6
2021-09-08,0,0,0,1,0,0,0,1,,,,94.83%,405,6
2021-10-09,0,0,0,1,0,0,0,1,,,,94.83%,417,6
2021-11-11,0,0,0,1,0,0,0,1,,,,94.83%,417,6
2021-12-13,0,0,0,1,0,0,0,1,,,,77.46%,432,6
2022-01-11,0,0,0,1,0,0,0,1,,,,77.46%,440,6
2022-02-14,0,0,0,1,0,0,0,1,,,,73.33%,1100,7
2022-03-16,0,3,0,1,0,0,1,5,,,,73.33%,1185,11
2022-04-18,0,3,0,1,0,0,1,5,,,,73.33%,1217,11
2022-05-17,0,3,0,1,0,0,1,5,,,,73.33%,1225,11
2022-06-16,0,3,0,1,0,0,1,5,,,,73.33%,1225,11
2022-07-15,0,3,0,1,0,0,1,5,,,,73.33%,1229,11
2022-08-15,0,3,0,1,0,0,1,5,,,,73.33%,1233,11
2022-09-13,0,3,0,1,0,0,1,5,,,,73.33%,1233,11
2022-10-12,0,3,0,1,0,0,1,5,,,,73.33%,1293,11
2022-11-13,0,3,0,1,0,0,1,5,,,,73.33%,1293,11
2022-12-12,0,3,0,1,0,0,1,5,,,,55.56%,1311,12
2023-01-10,0,3,0,1,0,0,1,5,,,,55.56%,1317,12
2023-02-09,0,3,0,1,0,0,1,5,,,,55.56%,1329,12
2023-03-11,0,3,0,1,0,0,1,5,,,,55.56%,1358,12
2023-04-13,0,3,0,1,0,0,1,5,,,,55.56%,1362,12
