date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,0,0,0,0,0,0,0,,,,,841,12
2019-06-06,0,0,0,0,0,0,0,0,,,,,911,13
2019-07-05,0,0,0,0,0,0,0,0,,,,,910,13
2019-08-03,0,0,0,0,0,0,0,0,,,,,941,13
2019-09-02,0,0,0,0,0,0,0,0,,,,,949,13
2019-10-07,0,0,0,0,0,0,0,0,,,,,1026,16
2019-11-05,0,0,0,0,0,0,0,0,,,,,1056,17
2019-12-06,0,0,0,0,0,0,0,0,,,,,1066,17
2020-01-06,0,0,0,0,0,0,0,0,,,,50.96%,1256,21
2020-02-04,0,0,0,0,0,0,0,0,,,,51.56%,1256,21
2020-03-04,0,0,0,0,0,0,0,0,,,,51.45%,1260,21
2020-04-03,0,0,0,0,0,0,0,0,,,,50.31%,1274,21
2020-05-02,0,0,0,0,0,0,0,0,,,,49.76%,1279,21
2020-05-31,0,0,0,0,0,0,0,0,,,,50.07%,1282,21
2020-06-29,0,0,0,0,0,0,0,0,,,,49.11%,1379,23
2020-07-28,0,0,0,0,0,0,0,0,,,,49.21%,1379,23
2020-08-28,0,0,0,0,0,0,0,0,,,,49.21%,1379,23
2020-10-01,0,0,0,0,0,0,0,0,,,,49.30%,1379,23
2020-10-30,0,1,0,0,0,0,1,2,,,,55.39%,1543,28
2020-12-05,0,1,0,0,0,0,1,2,,,,55.39%,1543,28
2021-01-04,0,1,0,0,0,0,1,2,,,,65.78%,1685,30
2021-02-02,0,1,0,0,0,0,1,2,,,,65.86%,1678,30
2021-03-04,0,1,0,0,0,0,1,2,,,,65.86%,1678,30
2021-04-07,0,2,0,0,0,0,1,3,,,,65.86%,1685,30
2021-05-06,0,2,0,0,0,0,1,3,,,,65.86%,1685,30
2021-06-11,0,2,0,0,0,0,1,3,,,,65.72%,1685,30
2021-07-12,0,2,0,0,1,0,1,4,,,,65.61%,1742,31
2021-08-10,0,2,0,0,1,0,1,4,,,,67.73%,1914,32
2021-09-08,0,2,0,0,1,0,1,4,,,,69.87%,1939,32
2021-10-09,0,2,0,0,1,0,1,4,,,,70.41%,1932,32
2021-11-11,0,2,0,0,1,0,1,4,,,,70.41%,1932,32
2021-12-13,0,2,0,0,1,0,1,4,,,,70.41%,1932,32
2022-01-11,0,2,0,0,1,0,1,4,,,,70.41%,1932,32
2022-02-14,0,2,0,0,1,0,1,4,,,,70.41%,1909,32
2022-03-16,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-04-18,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-05-17,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-06-16,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-07-15,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-08-15,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-09-13,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-10-12,0,2,0,0,1,0,1,4,,,,70.53%,1914,32
2022-11-13,0,2,0,0,1,0,1,4,,,,70.78%,1918,32
2022-12-12,0,2,0,0,1,0,1,4,,,,70.78%,1918,32
2023-01-10,0,2,0,0,1,0,1,4,,,,70.78%,1918,32
2023-02-09,0,2,0,0,1,0,1,4,,,,70.61%,1921,32
2023-03-11,0,2,0,0,1,0,1,4,,,,75.43%,2037,36
2023-04-13,0,2,0,0,1,0,1,4,,,,75.43%,2037,36
