date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,2,0,0,0,0,1,3,,,,62.54%,211,4
2019-06-06,0,2,0,0,0,0,1,3,,,,58.18%,280,5
2019-07-05,0,2,0,0,0,0,1,3,,,,54.42%,280,5
2019-08-03,0,2,0,0,0,0,1,3,,,,52.59%,283,5
2019-09-02,0,2,0,0,0,0,1,3,,,,53.79%,286,5
2019-10-07,0,2,0,1,0,0,1,4,,,,41.67%,529,9
2019-11-05,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2019-12-06,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2020-01-06,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2020-02-04,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2020-03-04,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2020-04-03,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2020-05-02,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2020-05-31,0,2,0,1,0,0,1,4,,,,41.90%,529,9
2020-06-29,0,2,0,1,0,0,1,4,,,,41.98%,529,9
2020-07-28,0,2,0,1,0,0,1,4,,,,41.98%,529,9
2020-08-28,0,2,0,1,0,0,1,4,,,,41.98%,529,9
2020-10-01,0,2,0,1,0,0,1,4,,,,41.98%,529,9
2020-10-30,0,2,0,1,0,0,1,4,,,,41.98%,529,9
2020-12-05,0,2,0,1,0,0,1,4,,,,41.98%,529,9
2021-01-04,0,2,0,1,0,0,1,4,,,,43.76%,526,9
2021-02-02,0,2,0,1,0,0,1,4,,,,43.76%,526,9
2021-03-04,0,2,0,1,0,0,1,4,,,,43.76%,526,9
2021-04-07,0,2,0,1,0,0,1,4,,,,43.76%,526,9
2021-05-06,0,2,0,1,0,0,1,4,,,,43.76%,538,9
2021-06-11,0,2,0,1,0,0,1,4,,,,43.76%,538,9
2021-07-12,0,2,0,1,0,0,1,4,,,,43.76%,538,9
2021-08-10,0,2,0,1,0,0,1,4,,,,43.42%,546,10
2021-09-08,0,2,0,1,0,0,1,4,,,,43.42%,546,10
2021-10-09,0,2,0,1,0,0,1,4,,,,43.42%,546,10
2021-11-11,0,2,0,1,0,0,1,4,,,,43.42%,546,10
2021-12-13,0,2,0,1,0,0,1,4,,,,43.42%,546,10
2022-01-11,0,2,0,1,0,0,1,4,,,,44.51%,549,10
2022-02-14,0,2,0,1,0,0,1,4,,,,44.51%,549,10
2022-03-16,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-04-18,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-05-17,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-06-16,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-07-15,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-08-15,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-09-13,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-10-12,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-11-13,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2022-12-12,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2023-01-10,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2023-02-09,0,3,0,1,0,0,1,5,,,,42.70%,557,10
2023-03-11,0,3,0,1,0,0,1,5,,,,43.74%,560,10
2023-04-13,0,3,0,1,0,0,1,5,,,,45.71%,566,10
