date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,3,0,0,0,0,1,4,,,,60.28%,1643,24
2019-06-06,0,3,0,0,0,0,1,4,,,,69.32%,1779,25
2019-07-05,0,3,0,0,0,0,1,4,,,,50.34%,1114,25
2019-08-03,0,3,0,0,0,0,1,4,,,,47.87%,1188,26
2019-09-02,0,3,0,0,0,0,1,4,,,,47.87%,1188,26
2019-10-07,0,3,0,0,0,0,1,4,,,,53.42%,1188,26
2019-11-05,0,3,0,0,0,0,1,4,,,,53.42%,1196,26
2019-12-06,0,3,0,0,0,0,1,4,,,,53.42%,1196,26
2020-01-06,0,3,0,0,0,0,1,4,,,,52.91%,1182,26
2020-02-04,0,3,0,0,0,0,1,4,,,,52.91%,1182,26
2020-03-04,0,3,0,0,0,0,1,4,,,,52.91%,1182,26
2020-04-03,0,3,0,0,0,0,1,4,,,,52.91%,1182,26
2020-05-02,0,3,0,0,0,0,1,4,,,,52.91%,1182,26
2020-05-31,0,4,0,0,0,0,1,5,,,,52.77%,1189,26
2020-06-29,0,4,0,0,0,0,1,5,,,,52.77%,1189,26
2020-07-28,0,4,0,0,0,0,1,5,,,,46.17%,1225,26
2020-08-28,0,4,0,0,0,0,1,5,,,,46.17%,1225,26
2020-10-01,0,4,0,0,0,0,1,5,,,,46.48%,1225,26
2020-10-30,0,4,0,0,0,0,1,5,,,,46.31%,1246,26
2020-12-05,0,4,0,0,0,0,1,5,,,,46.31%,1246,26
2021-01-04,0,4,0,0,0,0,1,5,,,,46.31%,1246,26
2021-02-02,0,4,0,0,0,0,1,5,,,,46.31%,1246,26
2021-03-04,0,4,0,0,0,0,1,5,,,,46.31%,1246,26
2021-04-07,0,4,0,0,0,0,1,5,,,,46.31%,1246,26
2021-05-06,0,4,0,0,0,0,1,5,,,,46.31%,1249,26
2021-06-11,0,4,0,0,0,0,1,5,,,,46.31%,1249,26
2021-07-12,0,4,0,0,0,0,1,5,,,,46.31%,1249,26
2021-08-10,0,4,0,0,0,0,1,5,,,,46.31%,1249,26
2021-09-08,0,4,0,0,0,0,1,5,,,,46.55%,1252,26
2021-10-09,0,4,0,0,0,0,1,5,,,,46.45%,1252,26
2021-11-11,0,4,0,0,0,0,1,5,,,,46.45%,1252,26
2021-12-13,0,4,0,0,0,0,1,5,,,,46.45%,1252,26
2022-01-11,0,4,0,0,0,0,1,5,,,,46.45%,1252,26
2022-02-14,0,4,0,0,0,0,1,5,,,,44.17%,1305,27
2022-03-16,0,4,0,0,0,0,1,5,,,,44.17%,1305,27
2022-04-18,0,4,0,0,0,0,1,5,,,,44.17%,1305,27
2022-05-17,0,4,0,0,0,0,1,5,,,,44.17%,1306,27
2022-06-16,0,4,0,0,0,0,1,5,,,,44.17%,1306,27
2022-07-15,0,4,0,0,0,0,1,5,,,,44.17%,1306,27
2022-08-15,0,4,0,0,0,0,1,5,,,,44.17%,1306,27
2022-09-13,0,4,0,0,0,0,1,5,,,,44.17%,1306,27
2022-10-12,0,4,0,0,0,0,1,5,,,,44.17%,1306,27
2022-11-13,0,4,0,0,0,0,1,5,,,,43.71%,1315,27
2022-12-12,0,4,0,0,0,0,1,5,,,,43.71%,1315,27
2023-01-10,0,4,0,0,0,0,1,5,,,,43.71%,1315,27
2023-02-09,0,4,0,0,0,0,1,5,,,,43.71%,1315,27
2023-03-11,0,4,0,0,0,0,1,5,,,,52.91%,1374,29
2023-04-13,0,4,0,0,0,0,1,5,,,,54.63%,1381,29
