date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,3,0,1,0,1,1,6,,,,0.00%,1017,13
2019-06-06,0,3,0,1,0,1,1,6,,,,7.11%,1154,14
2019-07-05,0,3,0,1,0,1,1,6,,,,7.11%,1160,15
2019-08-03,0,3,0,1,0,1,1,6,,,,6.90%,1186,15
2019-09-02,0,3,0,1,0,1,1,6,,,,6.94%,1181,15
2019-10-07,0,3,0,1,0,1,1,6,,,,7.24%,1181,15
2019-11-05,0,3,0,1,0,1,1,6,,,,7.19%,1203,15
2019-12-06,0,3,0,1,0,1,1,6,,,,7.19%,1203,15
2020-01-06,0,3,0,1,0,1,1,6,,,,7.11%,1197,15
2020-02-04,0,3,0,1,0,1,1,6,,,,7.36%,1193,16
2020-03-04,0,3,0,1,0,1,1,6,,,,7.30%,1191,16
2020-04-03,0,3,0,1,0,1,1,6,,,,7.15%,1198,16
2020-05-02,0,3,0,1,0,1,1,6,,,,6.57%,1201,16
2020-05-31,0,3,0,1,0,1,1,6,,,,6.57%,1272,17
2020-06-29,0,3,0,1,0,1,1,6,,,,6.51%,1335,17
2020-07-28,0,3,0,1,0,1,1,6,,,,18.60%,1066,20
2020-08-28,0,3,0,1,0,1,1,6,,,,21.03%,1090,20
2020-10-01,0,3,0,1,0,1,1,6,,,,21.03%,1090,20
2020-10-30,0,3,0,1,0,1,1,6,,,,19.97%,1145,20
2020-12-05,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-01-04,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-02-02,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-03-04,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-04-07,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-05-06,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-06-11,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-07-12,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-08-10,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-09-08,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-10-09,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-11-11,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2021-12-13,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2022-01-11,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2022-02-14,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2022-03-16,0,3,0,1,0,1,1,6,,,,30.63%,1113,22
2022-04-18,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-05-17,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-06-16,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-07-15,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-08-15,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-09-13,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-10-12,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-11-13,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2022-12-12,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2023-01-10,0,3,0,1,0,1,1,6,,,,30.45%,1117,22
2023-02-09,0,3,0,1,0,1,1,6,,,,30.45%,1118,22
2023-03-11,0,3,0,1,0,1,1,6,,,,30.45%,1118,22
2023-04-13,0,3,0,1,0,1,1,6,,,,30.45%,1118,22
