date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,3,0,1,1,2,1,8,,,,14.40%,3636,31
2019-06-06,0,3,0,1,1,2,1,8,,,,14.37%,3663,31
2019-07-05,0,3,0,1,1,3,1,9,,,,24.13%,3583,35
2019-08-03,0,3,0,1,1,2,1,8,,,,26.45%,3488,34
2019-09-02,0,3,0,1,1,2,1,8,,,,26.54%,3492,34
2019-10-07,0,3,0,1,1,2,1,8,,,,26.34%,3492,34
2019-11-05,0,3,0,1,1,2,1,8,,,,28.21%,3510,34
2019-12-06,0,3,0,1,1,2,0,7,,,,28.05%,3491,34
2020-01-06,0,3,0,1,1,2,0,7,,,,28.14%,3485,34
2020-02-04,0,3,0,1,1,2,0,7,,,,28.34%,3463,34
2020-03-04,0,3,0,1,1,1,1,7,,,,27.60%,3836,38
2020-04-03,0,3,0,1,1,1,1,7,,,,27.29%,3839,38
2020-05-02,0,3,0,1,1,1,1,7,,,,28.09%,3765,37
2020-05-31,0,4,0,1,1,1,1,8,,,,30.62%,3745,36
2020-06-29,0,4,0,1,1,1,1,8,,,,32.31%,3501,35
2020-07-28,0,4,0,1,1,2,1,9,,,,26.25%,3627,31
2020-08-28,0,4,0,1,1,2,1,9,,,,25.96%,3656,31
2020-10-01,0,4,0,1,1,2,1,9,,,,26.03%,3646,31
2020-10-30,0,4,0,1,1,2,1,9,,,,25.90%,3722,31
2020-12-05,0,4,0,1,1,2,1,9,,,,25.87%,3725,31
2021-01-04,0,4,0,1,1,2,1,9,,,,25.62%,3741,31
2021-02-02,0,4,0,1,1,2,1,9,,,,25.62%,3744,31
2021-03-04,0,4,0,1,1,2,1,9,,,,25.62%,3744,31
2021-04-07,0,4,0,1,1,2,1,9,,,,25.62%,3744,31
2021-05-06,0,4,0,1,1,2,1,9,,,,25.62%,3744,31
2021-06-11,0,4,0,1,1,2,1,9,,,,25.56%,3754,31
2021-07-12,0,4,0,1,1,2,1,9,,,,25.56%,3755,31
2021-08-10,0,4,0,1,1,2,1,9,,,,26.06%,3833,31
2021-09-08,0,4,0,1,1,3,1,10,,,,25.81%,3845,31
2021-10-09,0,4,0,1,1,3,1,10,,,,26.81%,3804,31
2021-11-11,0,4,0,1,1,3,1,10,,,,26.81%,3804,31
2021-12-13,0,4,0,1,1,3,1,10,,,,26.90%,3859,31
2022-01-11,0,4,0,1,1,3,1,10,,,,26.90%,3859,31
2022-02-14,0,4,0,1,1,3,1,10,,,,26.87%,3875,31
2022-03-16,0,4,0,1,1,3,1,10,,,,27.04%,3875,31
2022-04-18,0,4,0,1,1,3,1,10,,,,26.54%,3880,31
2022-05-17,0,4,0,1,1,3,1,10,,,,26.49%,3881,31
2022-06-16,0,4,0,1,1,3,1,10,,,,26.77%,3900,31
2022-07-15,0,4,0,1,1,3,1,10,,,,26.73%,3900,31
2022-08-15,0,4,0,1,1,3,1,10,,,,26.62%,3906,31
2022-09-13,0,4,0,1,1,3,1,10,,,,26.63%,3905,31
2022-10-12,0,4,0,1,1,3,1,10,,,,26.61%,3908,31
2022-11-13,0,4,0,1,1,2,1,9,,,,26.61%,3908,31
2022-12-12,0,4,0,1,1,2,1,9,,,,26.61%,3908,31
2023-01-10,0,4,0,1,1,2,1,9,,,,26.61%,3908,31
2023-02-09,0,4,0,1,1,3,1,10,,,,26.60%,3908,31
2023-03-11,0,4,0,1,1,3,1,10,,,,26.60%,3908,31
2023-04-13,0,4,0,1,1,3,1,10,,,,26.59%,3908,31
