date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,2,0,1,0,0,1,4,,,,10.04%,1529,14
2019-06-06,0,2,0,1,0,0,1,4,,,,17.04%,1765,16
2019-07-05,0,2,0,1,0,0,1,4,,,,15.67%,1806,16
2019-08-03,0,3,0,1,0,0,1,5,,,,17.92%,1853,16
2019-09-02,0,3,0,1,0,1,1,6,,,,21.39%,1863,16
2019-10-07,0,2,0,1,0,1,1,5,,,,24.71%,1967,18
2019-11-05,0,2,0,1,0,1,1,5,,,,59.74%,2373,21
2019-12-06,0,2,0,1,0,1,1,5,,,,59.93%,2376,21
2020-01-06,0,2,0,1,0,1,1,5,,,,60.30%,2582,24
2020-02-04,0,2,0,1,0,1,1,5,,,,59.50%,2450,22
2020-03-04,0,2,0,1,0,1,1,5,,,,58.83%,2468,22
2020-04-03,0,2,0,1,0,1,1,5,,,,58.96%,2468,22
2020-05-02,0,2,0,1,0,1,1,5,,,,59.99%,2542,23
2020-05-31,0,2,0,1,0,1,1,5,,,,59.09%,2630,24
2020-06-29,0,2,0,1,0,1,1,5,,,,59.09%,2630,24
2020-07-28,0,2,0,1,0,1,1,5,,,,63.40%,2898,25
2020-08-28,0,2,0,1,0,1,1,5,,,,64.22%,2912,26
2020-10-01,0,2,0,1,0,1,1,5,,,,64.31%,2945,27
2020-10-30,0,2,0,1,0,1,1,5,,,,64.17%,2950,27
2020-12-05,0,2,0,1,0,1,1,5,,,,64.17%,2950,27
2021-01-04,0,2,0,1,0,1,1,5,,,,67.17%,2932,28
2021-02-02,0,2,0,1,0,1,1,5,,,,68.60%,3124,29
2021-03-04,0,2,0,1,0,1,1,5,,,,68.60%,3124,29
2021-04-07,0,2,0,1,0,1,1,5,,,,68.80%,3124,29
2021-05-06,0,2,0,1,0,1,1,5,,,,69.08%,3147,29
2021-06-11,0,2,0,1,0,1,1,5,,,,69.08%,3147,29
2021-07-12,0,2,0,1,0,1,1,5,,,,69.08%,3147,29
2021-08-10,0,2,0,1,0,1,1,5,,,,68.94%,3150,29
2021-09-08,0,2,0,1,0,1,1,5,,,,68.74%,3155,29
2021-10-09,0,2,0,1,0,1,1,5,,,,68.74%,3155,29
2021-11-11,0,2,0,1,0,1,1,5,,,,68.74%,3155,29
2021-12-13,0,2,0,1,0,1,1,5,,,,68.40%,3159,29
2022-01-11,0,2,0,1,0,1,1,5,,,,68.73%,3204,29
2022-02-14,0,2,0,1,0,1,1,5,,,,68.54%,3255,29
2022-03-16,0,2,0,1,0,1,1,5,,,,68.54%,3255,29
2022-04-18,0,2,0,1,0,1,1,5,,,,68.54%,3255,29
2022-05-17,0,2,0,1,0,1,1,5,,,,68.04%,3269,29
2022-06-16,0,2,0,1,0,2,1,6,,,,68.14%,3279,29
2022-07-15,0,2,0,1,0,2,1,6,,,,67.61%,3293,29
2022-08-15,0,2,0,1,0,2,1,6,,,,69.94%,3317,29
2022-09-13,0,2,0,1,0,2,1,6,,,,69.94%,3317,29
2022-10-12,0,2,0,1,0,2,1,6,,,,69.94%,3317,29
2022-11-13,0,2,0,1,0,2,1,6,,,,66.53%,3142,27
2022-12-12,0,4,0,1,0,2,1,8,,,,66.49%,3163,27
2023-01-10,0,4,0,1,0,2,1,8,,,,66.49%,3163,27
2023-02-09,0,4,0,1,0,2,1,8,,,,66.49%,3163,27
2023-03-11,0,4,0,1,0,2,1,8,,,,66.09%,3151,27
2023-04-13,0,4,0,1,0,2,1,8,,,,65.96%,3154,27
