date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,0,0,0,0,2,0,2,,,,16.69%,1141,15
2019-06-06,0,0,0,0,0,2,0,2,,,,16.69%,1141,15
2019-07-05,0,0,0,0,0,2,0,2,,,,16.69%,1141,15
2019-08-03,0,0,0,0,0,2,0,2,,,,20.16%,1273,16
2019-09-02,0,0,0,0,0,4,0,4,,,,21.57%,1260,16
2019-10-07,0,2,0,0,0,5,0,7,,,,34.40%,1895,19
2019-11-05,0,2,0,0,0,5,0,7,,,,70.37%,2242,23
2019-12-06,0,2,0,0,0,5,0,7,,,,70.56%,2243,23
2020-01-06,0,2,0,0,0,5,0,7,,,,70.39%,2278,23
2020-02-04,0,2,0,0,0,7,0,9,,,,71.59%,2194,23
2020-03-04,0,2,0,0,0,7,0,9,,,,71.72%,2200,23
2020-04-03,0,2,0,0,0,7,0,9,,,,72.20%,2260,23
2020-05-02,0,2,0,0,0,7,0,9,,,,76.95%,2665,27
2020-05-31,0,2,0,0,0,9,0,11,,,,76.59%,2719,29
2020-06-29,0,2,0,0,0,9,0,11,,,,77.23%,2836,29
2020-07-28,0,2,0,0,0,10,0,12,,,,78.40%,3045,29
2020-08-28,0,2,0,0,0,10,0,12,,,,78.40%,3045,29
2020-10-01,0,2,0,0,0,10,0,12,,,,78.38%,3045,29
2020-10-30,0,2,0,0,1,11,0,14,,,,77.61%,3231,31
2020-12-05,0,2,0,0,1,11,0,14,,,,77.53%,3233,31
2021-01-04,0,2,0,0,1,11,0,14,,,,77.33%,3279,31
2021-02-02,0,2,0,0,1,11,0,14,,,,77.31%,3277,31
2021-03-04,0,2,0,0,1,11,0,14,,,,77.39%,3277,31
2021-04-07,0,2,0,0,1,11,0,14,,,,77.39%,3293,31
2021-05-06,0,2,0,0,1,12,0,15,,,,76.86%,3520,32
2021-06-11,0,2,0,0,1,12,0,15,,,,76.62%,3521,32
2021-07-12,0,2,0,0,1,12,0,15,,,,76.62%,3521,32
2021-08-10,0,2,0,0,1,12,0,15,,,,75.45%,3534,32
2021-09-08,0,2,0,0,1,12,0,15,,,,75.11%,3570,32
2021-10-09,0,2,0,0,1,12,0,15,,,,75.11%,3566,32
2021-11-11,0,2,0,0,1,12,0,15,,,,75.11%,3566,32
2021-12-13,0,2,0,0,1,12,0,15,,,,75.11%,3566,32
2022-01-11,0,2,0,0,1,12,0,15,,,,75.16%,3577,32
2022-02-14,0,2,0,0,1,12,0,15,,,,74.93%,3600,33
2022-03-16,0,2,0,0,1,12,0,15,,,,74.29%,3628,33
2022-04-18,0,2,0,0,1,12,0,15,,,,74.29%,3628,33
2022-05-17,0,2,0,0,1,12,0,15,,,,74.29%,3628,33
2022-06-16,0,2,0,0,1,12,0,15,,,,74.29%,3628,33
2022-07-15,0,2,0,0,1,12,0,15,,,,74.29%,3628,33
2022-08-15,0,2,0,0,1,12,0,15,,,,74.61%,3627,33
2022-09-13,0,2,0,0,1,12,0,15,,,,71.79%,3826,33
2022-10-12,0,2,0,0,1,12,0,15,,,,71.79%,3826,33
2022-11-13,0,2,0,0,1,12,1,16,,,,72.07%,3930,34
2022-12-12,0,2,0,0,1,12,1,16,,,,72.07%,3944,34
2023-01-10,0,2,0,0,1,12,1,16,,,,72.07%,3944,34
2023-02-09,0,2,0,0,1,14,1,18,,,,72.38%,4137,34
2023-03-11,0,2,0,0,1,14,1,18,,,,72.20%,4144,34
2023-04-13,0,2,0,0,1,14,1,18,,,,72.20%,4144,34
