date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-05-31,0,2,0,0,0,0,1,3,,,,88.62%,70,1
2020-06-29,0,2,0,0,0,0,1,3,,,,88.62%,70,1
2020-07-28,0,2,0,0,0,0,1,3,,,,78.07%,107,1
2020-08-28,0,2,0,0,0,0,1,3,,,,78.07%,107,1
2020-10-01,0,2,0,0,0,0,1,3,,,,78.07%,107,1
2020-10-30,0,2,0,0,0,0,1,3,,,,78.17%,107,1
2020-12-05,0,2,0,0,0,0,1,3,,,,78.17%,107,1
2021-01-04,0,2,0,0,0,0,1,3,,,,78.17%,107,1
2021-02-02,0,2,0,0,0,0,1,3,,,,78.17%,107,1
2021-03-04,0,2,0,0,0,0,1,3,,,,78.17%,107,1
2021-04-07,0,2,0,0,0,0,1,3,,,,72.75%,146,1
2021-05-06,0,2,0,0,0,2,1,5,,,,46.32%,452,2
2021-06-11,0,2,0,0,0,2,1,5,,,,46.39%,452,2
2021-07-12,0,2,0,0,0,2,1,5,,,,46.39%,452,2
2021-08-10,0,2,0,0,0,2,1,5,,,,46.39%,452,2
2021-09-08,0,2,0,0,0,2,1,5,,,,46.39%,452,2
2021-10-09,0,2,0,0,0,2,1,5,,,,46.68%,459,2
2021-11-11,0,2,0,0,0,2,1,5,,,,46.68%,459,2
2021-12-13,0,2,0,0,0,2,1,5,,,,46.68%,459,2
2022-01-11,0,2,0,0,0,2,1,5,,,,46.68%,459,2
2022-02-14,0,2,0,0,0,2,1,5,,,,46.86%,469,2
2022-03-16,0,2,0,0,0,2,1,5,,,,46.64%,472,2
2022-04-18,0,2,0,0,0,2,1,5,,,,46.64%,472,2
2022-05-17,0,2,0,0,0,2,1,5,,,,46.64%,472,2
2022-06-16,0,2,0,0,0,2,1,5,,,,46.64%,472,2
2022-07-15,0,2,0,0,0,2,1,5,,,,45.65%,476,2
2022-08-15,0,2,0,0,0,2,1,5,,,,45.65%,476,2
2022-09-13,0,2,0,0,0,2,1,5,,,,44.97%,477,2
2022-10-12,0,2,0,0,0,2,1,5,,,,44.66%,478,2
2022-11-13,0,2,0,0,0,4,1,7,,,,61.63%,698,3
2022-12-12,0,2,0,0,0,4,1,7,,,,62.54%,739,3
2023-01-10,0,2,0,0,0,4,1,7,,,,62.54%,739,3
2023-02-09,0,2,0,0,0,4,1,7,,,,62.26%,735,3
2023-03-11,0,2,0,0,0,4,1,7,,,,62.26%,735,3
2023-04-13,0,2,0,0,0,4,1,7,,,,62.26%,735,3
