date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,3,0,1,0,0,1,5,,,,49.97%,2450,14
2019-06-06,0,2,0,1,0,0,1,4,,,,56.73%,2479,15
2019-07-05,0,2,0,1,0,0,1,4,,,,56.49%,2484,15
2019-08-03,0,2,0,1,0,1,1,5,,,,44.86%,2640,16
2019-09-02,0,2,0,1,0,1,1,5,,,,49.02%,2993,16
2019-10-07,0,2,0,1,0,1,1,5,,,,48.57%,1890,16
2019-11-05,0,3,0,0,0,0,1,4,,,,96.83%,1608,21
2019-12-06,0,2,0,0,0,0,1,3,,,,96.83%,1606,21
2020-01-06,0,2,0,1,0,0,1,4,,,,96.40%,1519,20
2020-02-04,0,3,0,0,0,0,1,4,,,,97.65%,1457,17
2020-03-04,0,3,0,0,0,0,1,4,,,,97.65%,1457,17
2020-04-03,0,3,0,0,0,0,1,4,,,,97.65%,1457,17
2020-05-02,0,3,0,0,0,0,1,4,,,,97.65%,1457,17
2020-05-31,0,3,0,0,0,0,1,4,,,,94.59%,1482,17
2020-06-29,0,3,0,0,0,0,1,4,,,,94.58%,1482,17
2020-07-28,0,2,0,0,0,0,1,3,,,,94.87%,1472,17
2020-08-28,0,2,0,0,0,0,1,3,,,,94.87%,1472,17
2020-10-01,0,2,0,0,0,0,1,3,,,,94.87%,1472,17
2020-10-30,0,2,0,0,0,0,1,3,,,,94.01%,1476,17
2020-12-05,0,2,0,0,0,0,1,3,,,,94.01%,1476,17
2021-01-04,0,2,0,0,0,0,1,3,,,,94.01%,1476,17
2021-02-02,0,2,0,0,0,0,1,3,,,,94.01%,1476,17
2021-03-04,0,2,0,0,0,0,1,3,,,,94.01%,1476,17
2021-04-07,0,2,0,0,0,0,1,3,,,,94.01%,1476,17
2021-05-06,0,2,0,0,0,0,1,3,,,,94.01%,1477,17
2021-06-11,0,2,0,0,0,0,1,3,,,,94.02%,1477,17
2021-07-12,0,2,0,0,0,0,1,3,,,,94.02%,1477,17
2021-08-10,0,2,0,0,0,0,1,3,,,,94.02%,1477,17
2021-09-08,0,2,0,0,0,0,1,3,,,,94.02%,1477,17
2021-10-09,0,2,0,0,0,0,1,3,,,,94.02%,1477,17
2021-11-11,0,2,0,0,0,0,1,3,,,,94.02%,1477,17
2021-12-13,0,2,0,0,0,0,1,3,,,,94.02%,1477,17
2022-01-11,0,2,0,0,0,0,1,3,,,,94.01%,1477,17
2022-02-14,0,2,0,0,0,0,1,3,,,,92.59%,1501,17
2022-03-16,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-04-18,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-05-17,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-06-16,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-07-15,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-08-15,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-09-13,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-10-12,0,2,0,0,0,0,1,3,,,,92.41%,1519,17
2022-11-13,0,3,0,0,0,0,1,4,,,,92.41%,1519,17
2022-12-12,0,4,0,0,0,0,1,5,,,,92.00%,1522,17
2023-01-10,0,4,0,0,0,0,1,5,,,,92.00%,1522,17
2023-02-09,0,4,0,0,0,0,1,5,,,,92.00%,1522,17
2023-03-11,0,2,0,0,0,0,1,3,,,,89.43%,1644,18
2023-04-13,0,2,0,0,0,0,1,3,,,,89.43%,1644,18
