date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,3,0,1,0,0,1,5,,,,43.07%,1663,17
2019-06-06,0,3,0,1,0,0,1,5,,,,54.55%,2196,24
2019-07-05,0,3,0,1,0,0,1,5,,,,54.55%,2202,24
2019-08-03,0,3,0,1,0,1,1,6,,,,32.05%,2547,26
2019-09-02,0,3,0,1,0,1,1,6,,,,35.92%,2555,26
2019-10-07,0,2,0,1,0,0,1,4,,,,76.24%,2155,26
2019-11-05,0,3,0,1,0,0,1,5,,,,75.96%,2338,27
2019-12-06,0,3,0,1,0,0,1,5,,,,78.47%,2373,29
2020-01-06,0,3,0,1,0,0,1,5,,,,78.57%,2378,29
2020-02-04,0,4,0,1,0,0,1,6,,,,78.80%,2320,29
2020-03-04,0,4,0,1,0,0,1,6,,,,73.44%,2365,29
2020-04-03,0,4,0,1,0,0,1,6,,,,73.44%,2365,29
2020-05-02,0,4,0,1,0,0,1,6,,,,70.40%,2368,29
2020-05-31,0,4,0,1,0,0,1,6,,,,68.84%,2389,29
2020-06-29,0,4,0,1,0,0,1,6,,,,68.84%,2389,29
2020-07-28,0,3,0,1,0,0,1,5,,,,69.05%,2440,29
2020-08-28,0,3,0,1,0,0,1,5,,,,69.05%,2440,29
2020-10-01,0,3,0,1,0,0,1,5,,,,69.19%,2440,29
2020-10-30,0,3,0,1,0,0,1,5,,,,68.51%,2423,29
2020-12-05,0,3,0,1,0,0,1,5,,,,68.51%,2423,29
2021-01-04,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-02-02,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-03-04,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-04-07,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-05-06,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-06-11,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-07-12,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-08-10,0,3,0,1,0,0,1,5,,,,70.60%,2447,29
2021-09-08,0,3,0,1,0,0,1,5,,,,70.64%,2447,29
2021-10-09,0,3,0,1,0,0,1,5,,,,70.70%,2451,29
2021-11-11,0,3,0,1,0,0,1,5,,,,70.70%,2451,29
2021-12-13,0,3,0,1,0,0,1,5,,,,70.70%,2451,29
2022-01-11,0,3,0,1,0,0,1,5,,,,69.95%,2471,29
2022-02-14,0,3,0,1,0,0,1,5,,,,69.54%,2471,29
2022-03-16,0,3,0,1,0,0,1,5,,,,71.68%,2474,29
2022-04-18,0,3,0,1,0,0,1,5,,,,71.68%,2474,29
2022-05-17,0,3,0,1,0,0,1,5,,,,71.68%,2474,29
2022-06-16,0,3,0,1,0,0,1,5,,,,71.68%,2474,29
2022-07-15,0,3,0,1,0,0,1,5,,,,71.68%,2474,29
2022-08-15,0,3,0,1,0,0,1,5,,,,71.68%,2474,29
2022-09-13,0,3,0,1,0,0,1,5,,,,71.77%,2474,29
2022-10-12,0,3,0,1,0,0,1,5,,,,71.77%,2474,29
2022-11-13,0,4,0,1,0,0,1,6,,,,70.48%,2453,28
2022-12-12,0,4,0,1,0,0,1,6,,,,70.48%,2453,28
2023-01-10,0,4,0,1,0,0,1,6,,,,70.48%,2453,28
2023-02-09,0,4,0,1,0,0,1,6,,,,70.48%,2453,28
2023-03-11,0,3,0,1,0,0,1,5,,,,70.48%,2453,28
2023-04-13,0,3,0,1,0,0,1,5,,,,70.48%,2453,28
