date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-06-06,0,2,0,0,0,0,0,2,,,,63.27%,69,3
2019-07-05,0,2,0,1,0,0,0,3,,,,51.64%,293,10
2019-08-03,0,2,0,1,0,0,0,3,,,,51.64%,293,10
2019-09-02,0,3,0,1,0,0,0,4,,,,60.42%,407,12
2019-10-07,0,3,0,1,0,0,0,4,,,,69.02%,778,22
2019-11-05,0,4,0,1,0,0,0,5,,,,72.30%,784,22
2019-12-06,0,4,0,1,0,0,0,5,,,,72.30%,784,22
2020-01-06,0,4,0,1,0,0,0,5,,,,72.30%,784,22
2020-02-04,0,4,0,1,0,0,0,5,,,,72.10%,783,22
2020-03-04,0,4,0,1,0,0,0,5,,,,75.44%,835,24
2020-04-03,0,4,0,1,0,0,0,5,,,,76.66%,849,24
2020-05-02,0,4,0,1,0,0,0,5,,,,76.66%,849,24
2020-05-31,0,4,0,1,0,0,0,5,,,,76.66%,849,24
2020-06-29,0,4,0,1,0,0,0,5,,,,76.66%,849,24
2020-07-28,0,4,0,1,0,0,0,5,,,,76.75%,888,24
2020-08-28,0,4,0,1,0,0,0,5,,,,76.75%,888,24
2020-10-01,0,4,0,1,0,0,0,5,,,,76.75%,888,24
2020-10-30,0,4,0,1,0,0,0,5,,,,77.20%,980,28
2020-12-05,0,4,0,1,0,0,0,5,,,,77.20%,980,28
2021-01-04,0,4,0,1,0,0,0,5,,,,77.20%,980,28
2021-02-02,0,4,0,1,0,0,0,5,,,,77.20%,980,28
2021-03-04,0,4,0,1,0,0,0,5,,,,67.59%,1070,28
2021-04-07,0,4,0,1,0,0,0,5,,,,67.59%,1070,28
2021-05-06,0,4,0,1,0,0,0,5,,,,67.59%,1070,28
2021-06-11,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2021-07-12,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2021-08-10,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2021-09-08,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2021-10-09,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2021-11-11,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2021-12-13,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-01-11,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-02-14,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-03-16,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-04-18,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-05-17,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-06-16,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-07-15,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-08-15,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-09-13,0,4,0,1,0,0,0,5,,,,69.78%,1230,30
2022-10-12,0,4,0,1,0,0,0,5,,,,70.05%,1233,30
2022-11-13,0,4,0,1,0,0,0,5,,,,70.05%,1233,30
2022-12-12,0,4,0,1,0,0,0,5,,,,70.05%,1233,30
2023-01-10,0,4,0,1,0,0,0,5,,,,70.05%,1233,30
2023-02-09,0,4,0,1,0,0,0,5,,,,70.05%,1233,30
2023-03-11,0,4,0,1,0,0,0,5,,,,70.05%,1233,30
2023-04-13,0,4,0,1,0,0,0,5,,,,70.05%,1233,30
