date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-02-04,0,0,0,0,0,0,0,0,,,,100.00%,28,2
2020-03-04,0,0,0,0,0,0,0,0,,,,100.00%,28,2
2020-04-03,0,0,0,0,0,0,0,0,,,,100.00%,28,2
2020-05-02,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2020-05-31,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2020-06-29,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2020-07-28,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2020-08-28,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2020-10-01,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2020-10-30,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2020-12-05,0,2,0,0,0,0,0,2,,,,46.84%,154,3
2021-01-04,0,2,0,0,0,0,0,2,,,,49.05%,154,3
2021-02-02,0,2,0,0,0,0,0,2,,,,49.05%,154,3
2021-03-04,0,2,0,0,0,0,0,2,,,,49.05%,154,3
2021-04-07,0,2,0,0,0,0,0,2,,,,49.05%,154,3
2021-05-06,0,2,0,0,0,0,0,2,,,,49.05%,154,3
2021-06-11,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2021-07-12,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2021-08-10,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2021-09-08,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2021-10-09,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2021-11-11,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2021-12-13,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2022-01-11,0,2,0,0,0,0,0,2,,,,51.89%,155,3
2022-02-14,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-03-16,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-04-18,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-05-17,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-06-16,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-07-15,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-08-15,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-09-13,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-10-12,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-11-13,0,2,0,0,0,0,1,3,,,,51.12%,154,3
2022-12-12,0,2,0,0,0,0,1,3,,,,23.26%,252,4
2023-01-10,0,2,0,0,0,0,1,3,,,,23.26%,252,4
2023-02-09,0,2,0,0,0,0,1,3,,,,23.53%,249,4
2023-03-11,0,2,0,0,0,0,1,3,,,,23.53%,249,4
2023-04-13,0,2,0,0,0,0,1,3,,,,23.53%,256,5
