date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-11-05,0,0,0,0,0,0,0,0,,,,,35,1
2019-12-06,0,0,0,0,0,0,0,0,,,,,35,1
2020-01-06,0,0,0,0,0,0,0,0,,,,,35,1
2020-02-04,0,0,0,0,0,0,0,0,,,,,35,1
2020-03-04,0,0,0,0,0,0,0,0,,,,,35,1
2020-04-03,0,0,0,0,0,0,0,0,,,,,35,1
2020-05-02,0,0,0,0,0,0,0,0,,,,,35,1
2020-05-31,0,0,0,0,0,0,0,0,,,,,35,1
2020-06-29,0,0,0,0,0,0,0,0,,,,,35,1
2020-07-28,0,0,0,0,0,0,0,0,,,,,35,1
2020-08-28,0,0,0,0,0,0,0,0,,,,,35,1
2020-10-01,0,0,0,0,0,0,0,0,,,,,35,1
