date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-11-05,1,0,0,1,0,0,0,2,,,,30.91%,1001,20
2019-12-06,1,0,0,1,0,0,0,2,,,,30.91%,1041,20
2020-01-06,1,0,0,1,0,0,0,2,,,,30.91%,1042,20
2020-02-04,1,0,0,1,0,0,0,2,,,,30.91%,1042,20
2020-03-04,1,0,0,1,0,0,0,2,,,,25.37%,1053,21
2020-04-03,1,0,0,1,0,0,0,2,,,,25.37%,1053,21
2020-05-02,1,0,0,1,0,0,0,2,,,,25.37%,1053,21
2020-05-31,1,0,0,1,0,0,0,2,,,,25.37%,1053,21
2020-06-29,1,0,0,1,0,0,0,2,,,,25.37%,1053,21
2020-07-28,1,0,0,1,0,0,0,2,,,,43.28%,1071,22
2020-08-28,1,0,0,1,0,0,0,2,,,,43.28%,1071,22
2020-10-01,1,0,0,1,0,0,0,2,,,,44.27%,1059,22
2020-10-30,1,0,0,1,0,0,0,2,,,,44.27%,1059,22
2020-12-05,1,0,0,1,0,0,0,2,,,,44.27%,1059,22
2021-01-04,1,0,0,1,0,0,0,2,,,,44.27%,1089,22
2021-02-02,1,0,0,1,0,0,0,2,,,,44.27%,1089,22
2021-03-04,1,0,0,1,0,0,0,2,,,,44.27%,1089,22
2021-04-07,1,0,0,1,0,0,0,2,,,,44.27%,1089,22
2021-05-06,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2021-06-11,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2021-07-12,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2021-08-10,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2021-09-08,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2021-10-09,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2021-11-11,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2021-12-13,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-01-11,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-02-14,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-03-16,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-04-18,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-05-17,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-06-16,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-07-15,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-08-15,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-09-13,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-10-12,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-11-13,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2022-12-12,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2023-01-10,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2023-02-09,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2023-03-11,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
2023-04-13,1,0,0,1,0,0,0,2,,,,44.27%,1169,24
