date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2022-03-16,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-04-18,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-05-17,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-06-16,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-07-15,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-08-15,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-09-13,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-10-12,0,0,0,0,0,0,1,1,,,,25.21%,384,3
2022-11-13,0,0,0,0,0,0,1,1,,,,38.03%,384,3
2022-12-12,0,0,0,0,0,0,1,1,,,,38.03%,384,3
2023-01-10,0,0,0,0,0,0,1,1,,,,38.03%,384,3
2023-02-09,0,0,0,0,0,0,1,1,,,,38.03%,384,3
2023-03-11,0,0,0,0,0,0,1,1,,,,38.03%,384,3
2023-04-13,0,0,0,0,0,0,1,1,,,,38.03%,384,3
