date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,2,0,1,0,6,0,9,,,,59.66%,824,9
2019-06-06,0,2,0,1,0,6,0,9,,,,48.02%,903,9
2019-07-05,0,2,0,1,0,7,0,10,,,,63.11%,979,10
2019-08-03,0,2,0,1,0,7,0,10,,,,61.27%,1027,10
2019-09-02,0,2,0,1,0,7,0,10,,,,59.88%,1031,10
2019-10-07,0,2,0,1,0,7,0,10,,,,58.52%,1037,10
2019-11-05,0,2,0,1,0,7,0,10,,,,48.58%,1218,10
2019-12-06,0,2,0,1,0,7,0,10,,,,47.51%,1242,10
2020-01-06,0,2,0,1,0,7,0,10,,,,47.54%,1245,10
2020-02-04,0,2,0,1,0,8,0,11,,,,50.45%,1315,10
2020-03-04,0,2,0,0,0,6,0,8,,,,61.28%,1251,11
2020-04-03,0,2,0,0,0,6,0,8,,,,62.01%,1253,11
2020-05-02,0,2,0,0,0,7,0,9,,,,62.99%,1256,11
2020-05-31,0,2,0,0,0,7,0,9,,,,62.99%,1256,11
2020-06-29,0,2,0,0,0,7,0,9,,,,63.02%,1260,11
2020-07-28,0,2,0,0,0,7,0,9,,,,63.06%,1246,11
2020-08-28,0,2,0,0,0,7,0,9,,,,61.88%,1257,11
2020-10-01,0,2,0,0,0,7,0,9,,,,62.25%,1257,11
2020-10-30,0,2,0,0,0,7,0,9,,,,62.25%,1257,11
2020-12-05,0,2,0,0,0,7,0,9,,,,61.87%,1257,11
2021-01-04,0,2,0,0,0,7,0,9,,,,60.97%,1257,11
2021-02-02,0,2,0,0,0,7,0,9,,,,60.67%,1310,11
2021-03-04,0,2,0,0,0,7,0,9,,,,60.89%,1310,11
2021-04-07,0,2,0,0,0,7,0,9,,,,60.62%,1313,11
2021-05-06,0,2,0,0,0,7,0,9,,,,60.66%,1313,11
2021-06-11,0,2,0,0,0,7,0,9,,,,0.00%,1311,11
2021-07-12,0,2,0,0,0,7,0,9,,,,0.00%,1311,11
2021-08-10,0,2,0,0,0,7,0,9,,,,0.00%,1311,11
2021-09-08,0,3,0,0,0,7,0,10,,,,54.28%,1260,11
2021-10-09,0,3,0,0,0,7,0,10,,,,52.19%,1261,11
2021-11-11,0,3,0,0,0,7,0,10,,,,52.19%,1261,11
2021-12-13,0,3,0,0,0,7,0,10,,,,52.19%,1261,11
2022-01-11,0,3,0,0,0,7,0,10,,,,52.41%,1256,11
2022-02-14,0,3,0,1,0,7,0,11,,,,52.88%,1421,12
2022-03-16,0,3,0,1,0,6,0,10,,,,59.28%,1494,12
2022-04-18,0,3,0,1,0,6,0,10,,,,61.84%,1501,12
2022-05-17,0,3,0,1,0,7,0,11,,,,60.33%,1450,12
2022-06-16,0,3,0,1,0,7,0,11,,,,60.33%,1450,12
2022-07-15,0,3,0,1,0,7,0,11,,,,60.33%,1450,12
2022-08-15,0,3,0,1,0,7,0,11,,,,60.33%,1450,12
2022-09-13,0,3,0,1,0,7,0,11,,,,60.33%,1450,12
2022-10-12,0,3,0,1,0,7,0,11,,,,60.19%,1454,12
2022-11-13,0,3,0,1,0,1,0,5,,,,60.11%,1453,12
2022-12-12,0,3,0,1,0,1,0,5,,,,60.11%,1453,12
2023-01-10,0,3,0,1,0,1,0,5,,,,60.26%,1454,12
2023-02-09,0,3,0,1,0,7,0,11,,,,58.64%,1456,12
2023-03-11,0,3,0,1,0,7,0,11,,,,58.98%,1457,12
2023-04-13,0,3,0,1,0,7,0,11,,,,59.11%,1461,12
