date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,3,0,0,0,0,1,4,,,,15.16%,242,4
2019-06-06,0,3,0,1,0,1,1,6,,,,20.62%,378,6
2019-07-05,0,3,0,1,0,1,1,6,,,,20.54%,379,6
2019-08-03,0,3,0,1,0,1,1,6,,,,21.44%,388,6
2019-09-02,0,3,0,1,0,1,1,6,,,,21.24%,395,6
2019-10-07,0,3,0,1,0,2,1,7,,,,18.05%,446,6
2019-11-05,0,3,0,1,0,2,1,7,,,,17.21%,464,6
2019-12-06,0,3,0,1,0,2,1,7,,,,18.61%,524,6
2020-01-06,0,3,0,1,0,2,1,7,,,,18.61%,522,6
2020-02-04,0,3,0,1,0,2,1,7,,,,18.43%,523,6
2020-03-04,0,3,0,1,0,2,1,7,,,,18.36%,524,6
2020-04-03,0,3,0,1,0,2,1,7,,,,18.85%,525,6
2020-05-02,0,3,0,1,0,0,1,5,,,,17.96%,548,6
2020-05-31,0,2,0,1,0,0,1,4,,,,11.84%,490,6
2020-06-29,0,2,0,1,0,0,1,4,,,,9.86%,466,6
2020-07-28,0,3,0,1,0,0,1,5,,,,9.86%,466,6
2020-08-28,0,3,0,1,0,0,1,5,,,,9.86%,466,6
2020-10-01,0,3,0,1,0,0,1,5,,,,9.86%,466,6
2020-10-30,0,3,0,1,0,0,1,5,,,,9.86%,466,6
2020-12-05,0,3,0,1,0,0,1,5,,,,9.86%,466,6
2021-01-04,0,3,0,1,0,0,1,5,,,,11.83%,479,6
2021-02-02,0,3,0,1,0,0,1,5,,,,11.83%,479,6
2021-03-04,0,3,0,1,0,0,1,5,,,,11.83%,479,6
2021-04-07,0,3,0,1,0,0,1,5,,,,11.83%,479,6
2021-05-06,0,3,0,1,0,0,1,5,,,,14.06%,505,6
2021-06-11,0,3,0,1,0,0,1,5,,,,0.00%,529,8
2021-07-12,0,3,0,1,0,0,1,5,,,,0.00%,529,8
2021-08-10,0,3,0,1,0,0,1,5,,,,0.00%,529,8
2021-09-08,0,3,0,1,0,0,1,5,,,,30.63%,584,9
2021-10-09,0,3,0,1,0,0,1,5,,,,32.30%,605,9
2021-11-11,0,3,0,1,0,0,1,5,,,,32.30%,605,9
2021-12-13,0,3,0,1,0,0,1,5,,,,34.35%,606,9
2022-01-11,0,3,0,1,0,0,1,5,,,,35.69%,608,9
2022-02-14,0,4,0,1,0,0,1,6,,,,35.95%,607,9
2022-03-16,0,4,0,1,0,0,1,6,,,,37.62%,625,9
2022-04-18,0,4,0,1,0,0,1,6,,,,37.62%,625,9
2022-05-17,0,4,0,1,0,0,1,6,,,,37.62%,625,9
2022-06-16,0,4,0,1,0,0,1,6,,,,37.62%,625,9
2022-07-15,0,4,0,1,0,0,1,6,,,,37.62%,625,9
2022-08-15,0,4,0,1,0,0,1,6,,,,37.62%,625,9
2022-09-13,0,4,0,1,0,0,1,6,,,,37.79%,626,9
2022-10-12,0,4,0,1,0,0,1,6,,,,32.85%,612,9
2022-11-13,0,4,0,1,0,0,1,6,,,,32.52%,610,9
2022-12-12,0,4,0,1,0,0,1,6,,,,32.52%,610,9
2023-01-10,0,4,0,1,0,0,1,6,,,,32.52%,610,9
2023-02-09,0,4,0,1,0,0,1,6,,,,32.52%,610,9
2023-03-11,0,4,0,1,0,0,1,6,,,,32.52%,610,9
2023-04-13,0,4,0,1,0,0,1,6,,,,32.52%,610,9
