date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,2,0,0,0,1,1,4,,,,91.61%,322,6
2019-06-06,0,2,0,0,0,1,1,4,,,,70.84%,321,5
2019-07-05,0,2,0,0,0,1,1,4,,,,72.24%,317,5
2019-08-03,0,2,0,0,0,1,1,4,,,,72.24%,317,5
2019-09-02,0,2,0,0,0,1,1,4,,,,72.24%,317,5
2019-10-07,0,2,0,0,0,1,1,4,,,,67.99%,456,5
2019-11-05,0,2,0,0,0,1,1,4,,,,67.73%,464,5
2019-12-06,0,2,0,0,0,1,1,4,,,,72.52%,449,5
2020-01-06,0,2,0,0,0,1,1,4,,,,72.52%,449,5
2020-02-04,0,2,0,0,0,1,1,4,,,,72.52%,449,5
2020-03-04,0,2,0,0,0,1,1,4,,,,72.52%,449,5
2020-04-03,0,2,0,0,0,1,1,4,,,,79.55%,382,4
2020-05-02,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2020-05-31,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2020-06-29,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2020-07-28,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2020-08-28,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2020-10-01,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2020-10-30,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2020-12-05,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2021-01-04,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2021-02-02,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2021-03-04,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2021-04-07,0,2,0,0,0,1,1,4,,,,79.20%,385,4
2021-05-06,0,2,0,0,0,1,1,4,,,,81.37%,406,4
2021-06-11,0,2,0,0,0,1,1,4,,,,0.00%,406,4
2021-07-12,0,2,0,0,0,1,1,4,,,,0.00%,420,5
2021-08-10,0,2,0,0,0,1,1,4,,,,0.00%,420,5
2021-09-08,0,2,0,0,0,1,1,4,,,,77.45%,428,5
2021-10-09,0,2,0,0,0,1,1,4,,,,77.60%,429,5
2021-11-11,0,2,0,0,0,1,1,4,,,,77.30%,428,5
2021-12-13,0,2,0,0,0,1,1,4,,,,77.30%,428,5
2022-01-11,0,2,0,0,0,1,1,4,,,,78.30%,450,5
2022-02-14,0,2,0,0,0,1,1,4,,,,78.30%,561,5
2022-03-16,0,2,0,0,0,1,1,4,,,,78.30%,566,5
2022-04-18,0,2,0,0,0,1,1,4,,,,78.30%,566,5
2022-05-17,0,2,0,0,0,1,1,4,,,,78.30%,566,5
2022-06-16,0,2,0,0,0,1,1,4,,,,78.30%,566,5
2022-07-15,0,2,0,0,0,1,1,4,,,,78.30%,566,5
2022-08-15,0,2,0,0,0,1,1,4,,,,78.30%,566,5
2022-09-13,0,2,0,0,0,1,1,4,,,,78.30%,566,5
2022-10-12,0,2,0,0,0,1,1,4,,,,81.59%,566,5
2022-11-13,0,2,0,0,0,0,1,3,,,,81.59%,566,5
2022-12-12,0,2,0,0,0,0,1,3,,,,81.59%,566,5
2023-01-10,0,2,0,0,0,0,1,3,,,,81.59%,566,5
2023-02-09,0,2,0,0,0,1,1,4,,,,81.59%,583,5
2023-03-11,0,2,0,0,0,1,1,4,,,,82.04%,585,5
2023-04-13,0,2,0,0,0,1,1,4,,,,81.62%,583,5
