date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-06-29,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2020-07-28,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2020-08-28,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2020-10-01,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2020-10-30,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2020-12-05,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2021-01-04,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2021-02-02,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2021-03-04,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2021-04-07,0,0,0,0,0,0,0,0,,,,80.63%,253,5
2021-05-06,0,0,0,0,0,0,0,0,,,,80.63%,253,5
