date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,4,0,0,0,0,1,5,,,,73.50%,2138,21
2019-06-06,0,4,0,1,0,0,1,6,,,,76.71%,2162,20
2019-07-05,0,4,0,1,0,0,1,6,,,,77.51%,2160,20
2019-08-03,0,4,0,1,0,0,1,6,,,,77.52%,2164,20
2019-09-02,0,4,0,1,0,0,1,6,,,,77.52%,2164,20
2019-10-07,0,4,0,1,0,0,1,6,,,,75.03%,2185,20
2019-11-05,0,4,0,1,0,0,1,6,,,,75.63%,2209,20
2019-12-06,0,3,0,1,0,0,1,5,,,,74.25%,2222,20
2020-01-06,0,3,0,1,0,0,1,5,,,,73.94%,2227,20
2020-02-04,0,3,0,1,0,0,1,5,,,,73.94%,2227,20
2020-03-04,0,3,0,1,0,0,1,5,,,,74.04%,2289,20
2020-04-03,0,2,0,1,0,0,1,4,,,,75.02%,2022,18
2020-05-02,0,2,0,1,0,0,1,4,,,,75.10%,2025,18
2020-05-31,0,2,0,1,0,0,1,4,,,,75.14%,2025,18
2020-06-29,0,2,0,1,0,0,1,4,,,,73.52%,2031,18
2020-07-28,0,2,0,1,0,0,1,4,,,,73.56%,2031,18
2020-08-28,0,2,0,1,0,0,1,4,,,,73.23%,2036,18
2020-10-01,0,2,0,1,0,0,1,4,,,,73.49%,2036,18
2020-10-30,0,2,0,1,0,0,1,4,,,,73.54%,2068,18
2020-12-05,0,2,0,1,0,0,1,4,,,,73.54%,2068,18
2021-01-04,0,2,0,1,0,0,1,4,,,,73.58%,2068,18
2021-02-02,0,2,0,1,0,0,1,4,,,,74.12%,2226,20
2021-03-04,0,2,0,1,0,0,1,4,,,,73.72%,2244,20
2021-04-07,0,2,0,1,0,0,1,4,,,,73.71%,2248,20
2021-05-06,0,2,0,1,0,0,1,4,,,,73.75%,2248,20
2021-06-11,0,2,0,1,0,0,1,4,,,,0.00%,2248,20
2021-07-12,0,2,0,1,0,1,1,5,,,,0.00%,2216,20
2021-08-10,0,2,0,1,0,1,1,5,,,,0.00%,2216,20
2021-09-08,0,2,0,1,0,1,1,5,,,,75.42%,2254,21
2021-10-09,0,2,0,1,0,1,1,5,,,,72.95%,2253,21
2021-11-11,0,2,0,1,0,1,1,5,,,,72.95%,2253,21
2021-12-13,0,2,0,1,0,1,1,5,,,,72.95%,2253,21
2022-01-11,0,2,0,1,0,1,1,5,,,,73.45%,2271,21
2022-02-14,0,2,0,1,0,1,1,5,,,,72.78%,2408,21
2022-03-16,0,2,0,1,0,2,1,6,,,,74.29%,2545,21
2022-04-18,0,2,0,1,0,2,1,6,,,,74.42%,2547,21
2022-05-17,0,2,0,1,0,1,1,5,,,,73.57%,2536,21
2022-06-16,0,2,0,1,0,1,1,5,,,,73.88%,2601,23
2022-07-15,0,2,0,1,0,1,1,5,,,,73.88%,2601,23
2022-08-15,0,2,0,1,0,1,1,5,,,,73.88%,2601,23
2022-09-13,0,2,0,1,0,1,1,5,,,,73.88%,2602,23
2022-10-12,0,2,0,1,0,1,1,5,,,,73.75%,2603,23
2022-11-13,0,2,0,1,0,1,1,5,,,,76.04%,2632,23
2022-12-12,0,2,0,1,0,1,1,5,,,,76.04%,2632,23
2023-01-10,0,2,0,1,0,1,1,5,,,,76.04%,2632,23
2023-02-09,0,2,0,1,0,1,1,5,,,,75.20%,2658,23
2023-03-11,0,2,0,1,0,1,1,5,,,,75.24%,2659,23
2023-04-13,0,2,0,1,0,1,1,5,,,,72.38%,2772,23
