date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-06-29,0,0,0,0,0,1,0,1,,,,41.30%,202,2
2020-07-28,0,0,0,0,0,1,0,1,,,,41.30%,202,2
2020-08-28,0,0,0,0,0,1,0,1,,,,42.84%,227,2
2020-10-01,0,0,0,0,0,1,0,1,,,,68.45%,209,2
2020-10-30,0,0,0,0,0,1,0,1,,,,68.20%,209,2
2020-12-05,0,0,0,0,0,1,0,1,,,,68.20%,209,2
2021-01-04,0,0,0,0,0,1,0,1,,,,68.20%,209,2
2021-02-02,0,0,0,0,0,1,0,1,,,,67.82%,208,2
2021-03-04,0,0,0,0,0,1,0,1,,,,67.82%,208,2
2021-04-07,0,0,0,0,0,1,0,1,,,,67.82%,208,2
2021-05-06,0,0,0,0,0,1,0,1,,,,67.82%,208,2
2021-06-11,0,0,0,0,0,2,0,2,,,,0.00%,278,2
2021-07-12,0,2,0,0,0,3,0,5,,,,0.00%,328,3
2021-08-10,0,2,0,0,0,3,0,5,,,,0.00%,328,3
2021-09-08,0,2,0,0,0,3,0,5,,,,53.45%,328,3
2021-10-09,0,2,0,0,0,3,0,5,,,,45.75%,328,3
2021-11-11,0,2,0,0,0,3,0,5,,,,45.75%,328,3
2021-12-13,0,2,0,0,0,3,0,5,,,,45.75%,328,3
2022-01-11,0,2,0,0,0,3,0,5,,,,43.09%,376,3
2022-02-14,0,2,0,0,0,3,0,5,,,,43.57%,362,3
2022-03-16,0,2,0,0,0,3,0,5,,,,42.39%,370,3
2022-04-18,0,2,0,0,0,3,0,5,,,,42.39%,370,3
2022-05-17,0,2,0,0,0,3,0,5,,,,42.39%,370,3
2022-06-16,0,2,0,0,0,3,0,5,,,,42.39%,370,3
2022-07-15,0,2,0,0,0,3,0,5,,,,42.39%,370,3
2022-08-15,0,2,0,0,0,3,0,5,,,,42.13%,370,3
2022-09-13,0,2,0,0,0,3,0,5,,,,42.13%,370,3
2022-10-12,0,2,0,0,0,3,0,5,,,,42.13%,370,3
2022-11-13,0,2,0,0,0,1,0,3,,,,47.93%,367,3
2022-12-12,0,2,0,0,0,1,0,3,,,,47.93%,367,3
2023-01-10,0,2,0,0,0,1,0,3,,,,47.93%,367,3
2023-02-09,0,2,0,0,0,3,0,5,,,,47.93%,367,3
2023-03-11,0,2,0,0,0,2,0,4,,,,55.66%,468,5
2023-04-13,0,2,0,0,0,2,0,4,,,,55.66%,468,5
