date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,2,0,1,0,1,0,4,,,,54.78%,1073,14
2019-06-06,0,2,0,1,0,1,1,5,,,,87.87%,498,9
2019-07-05,0,2,0,1,0,1,1,5,,,,87.87%,498,9
2019-08-03,0,2,0,1,0,1,1,5,,,,87.87%,498,9
2019-09-02,0,2,0,1,0,1,1,5,,,,87.87%,498,9
2019-10-07,0,2,0,1,0,1,1,5,,,,87.87%,498,9
2019-11-05,0,2,0,1,0,1,1,5,,,,87.62%,538,9
2019-12-06,0,2,0,1,0,1,1,5,,,,87.62%,552,9
2020-01-06,0,2,0,1,0,1,1,5,,,,87.62%,549,9
2020-02-04,0,2,0,1,0,1,1,5,,,,87.62%,549,9
2020-03-04,0,2,0,1,0,1,1,5,,,,87.62%,549,9
2020-04-03,0,2,0,1,0,1,1,5,,,,92.18%,483,8
2020-05-02,0,2,0,1,0,1,1,5,,,,92.18%,483,8
2020-05-31,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2020-06-29,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2020-07-28,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2020-08-28,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2020-10-01,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2020-10-30,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2020-12-05,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2021-01-04,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2021-02-02,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2021-03-04,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2021-04-07,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2021-05-06,0,2,0,1,0,1,1,5,,,,94.19%,511,9
2021-06-11,0,2,0,1,0,1,1,5,,,,0.00%,511,9
2021-07-12,0,2,0,1,0,1,1,5,,,,0.00%,511,9
2021-08-10,0,2,0,1,0,1,1,5,,,,0.00%,511,9
2021-09-08,0,2,0,1,0,1,1,5,,,,94.19%,513,9
2021-10-09,0,2,0,1,0,1,1,5,,,,94.19%,513,9
2021-11-11,0,2,0,1,0,1,1,5,,,,94.19%,513,9
2021-12-13,0,2,0,1,0,1,1,5,,,,94.19%,513,9
2022-01-11,0,2,0,1,0,1,1,5,,,,94.19%,513,9
2022-02-14,0,2,0,1,0,1,1,5,,,,94.19%,513,9
2022-03-16,0,2,0,1,0,1,1,5,,,,93.72%,523,9
2022-04-18,0,2,0,1,0,1,1,5,,,,93.72%,523,9
2022-05-17,0,2,0,1,0,1,1,5,,,,93.47%,523,9
2022-06-16,0,2,0,1,0,1,1,5,,,,93.47%,523,9
2022-07-15,0,2,0,1,0,1,1,5,,,,93.47%,523,9
2022-08-15,0,2,0,1,0,1,1,5,,,,93.47%,523,9
2022-09-13,0,2,0,1,0,1,1,5,,,,93.47%,523,9
2022-10-12,0,2,0,1,0,1,1,5,,,,87.18%,736,12
2022-11-13,0,2,0,1,0,0,1,4,,,,86.94%,745,12
2022-12-12,0,2,0,1,0,0,1,4,,,,87.00%,746,12
2023-01-10,0,2,0,1,0,0,1,4,,,,87.00%,746,12
2023-02-09,0,2,0,1,0,1,1,5,,,,87.00%,736,12
2023-03-11,0,2,0,1,0,1,1,5,,,,87.00%,736,12
2023-04-13,0,2,0,1,0,1,1,5,,,,87.00%,736,12
