date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,0,0,1,0,0,0,1,,,,40.82%,526,9
2019-06-06,0,0,0,1,0,0,0,1,,,,47.38%,525,9
2019-07-05,0,0,0,1,0,0,0,1,,,,47.14%,524,9
2019-08-03,0,0,0,1,0,0,0,1,,,,47.32%,519,9
2019-09-02,0,0,0,1,0,0,0,1,,,,44.02%,538,9
2019-10-07,0,0,0,1,0,0,0,1,,,,44.02%,538,9
2019-11-05,0,0,0,1,0,0,0,1,,,,43.71%,545,9
2019-12-06,0,0,0,1,0,0,0,1,,,,42.44%,553,9
2020-01-06,0,0,0,1,0,0,0,1,,,,39.82%,568,9
2020-02-04,0,0,0,1,0,0,0,1,,,,42.98%,531,9
2020-03-04,0,0,0,1,0,0,0,1,,,,40.38%,532,9
2020-04-03,0,0,0,1,0,0,0,1,,,,39.74%,531,9
2020-05-02,0,0,0,1,0,0,0,1,,,,39.38%,531,9
2020-05-31,0,0,0,1,0,0,0,1,,,,51.20%,692,11
2020-06-29,0,0,0,1,0,0,0,1,,,,50.58%,695,11
2020-07-28,0,0,0,1,0,0,0,1,,,,50.58%,695,11
2020-08-28,0,0,0,1,0,0,0,1,,,,50.69%,718,11
2020-10-01,0,0,0,1,0,0,0,1,,,,50.69%,718,11
2020-10-30,0,0,0,1,0,0,0,1,,,,49.33%,758,11
2020-12-05,0,0,0,1,0,0,0,1,,,,49.33%,758,11
2021-01-04,0,0,0,1,0,0,0,1,,,,48.71%,758,11
2021-02-02,0,0,0,1,0,0,0,1,,,,48.59%,756,11
2021-03-04,0,0,0,1,0,0,0,1,,,,48.59%,756,11
2021-04-07,0,0,0,1,0,0,0,1,,,,48.59%,756,11
2021-05-06,0,0,0,1,0,0,0,1,,,,48.59%,756,11
2021-06-11,0,0,0,1,0,0,0,1,,,,38.95%,942,14
2021-07-12,0,0,0,1,0,0,0,1,,,,38.95%,942,14
2021-08-10,0,0,0,1,0,0,0,1,,,,40.35%,1092,16
2021-09-08,0,0,0,1,0,0,0,1,,,,40.35%,1092,16
2021-10-09,0,0,0,1,0,0,0,1,,,,40.50%,1093,16
2021-11-11,0,0,0,1,0,0,0,1,,,,40.50%,1093,16
2021-12-13,0,0,0,1,0,0,0,1,,,,40.55%,1096,16
2022-01-11,0,0,0,1,0,0,0,1,,,,40.55%,1096,16
2022-02-14,0,0,0,1,0,0,0,1,,,,40.55%,1096,16
2022-03-16,0,2,0,1,0,0,0,3,,,,41.72%,1097,16
2022-04-18,0,2,0,1,0,0,0,3,,,,41.72%,1097,16
2022-05-17,0,2,0,1,0,0,0,3,,,,41.71%,1097,16
2022-06-16,0,2,0,1,0,0,0,3,,,,41.71%,1097,16
2022-07-15,0,2,0,1,0,0,0,3,,,,41.71%,1097,16
2022-08-15,0,2,0,1,0,0,0,3,,,,41.71%,1097,16
2022-09-13,0,2,0,1,0,0,0,3,,,,41.70%,1118,16
2022-10-12,0,2,0,1,0,0,0,3,,,,41.49%,1120,16
2022-11-13,0,2,0,1,0,0,0,3,,,,41.49%,1120,16
2022-12-12,0,2,0,1,0,0,0,3,,,,41.85%,1123,16
2023-01-10,0,2,0,1,0,0,0,3,,,,41.89%,1124,16
2023-02-09,0,2,0,1,0,0,0,3,,,,28.49%,483,10
2023-03-11,0,2,0,1,0,0,0,3,,,,16.80%,604,10
2023-04-13,0,2,0,1,0,0,0,3,,,,16.80%,604,10
