date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-11-05,0,0,0,0,0,0,0,0,,,,,39,1
2019-12-06,0,1,0,0,0,0,1,2,,,,,93,2
2020-01-06,0,1,0,0,0,0,1,2,,,,,91,2
2020-02-04,0,1,0,0,0,0,1,2,,,,0.00%,113,2
2020-03-04,0,1,0,0,0,0,1,2,,,,76.98%,113,2
2020-04-03,0,1,0,0,0,0,1,2,,,,73.19%,124,2
2020-05-02,0,1,0,0,0,0,1,2,,,,73.19%,124,2
2020-05-31,0,1,0,0,0,0,1,2,,,,73.19%,124,2
2020-06-29,0,1,0,0,0,0,1,2,,,,72.18%,124,2
2020-07-28,0,1,0,0,0,0,1,2,,,,72.18%,124,2
2020-08-28,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2020-10-01,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2020-10-30,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2020-12-05,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2021-01-04,0,1,0,0,0,0,1,2,,,,74.83%,134,2
2021-02-02,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2021-03-04,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2021-04-07,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2021-05-06,0,1,0,0,0,0,1,2,,,,71.33%,134,2
2021-06-11,0,1,0,1,0,0,1,3,,,,61.31%,339,6
2021-07-12,0,1,0,1,0,0,1,3,,,,61.31%,339,6
2021-08-10,0,1,0,1,0,0,1,3,,,,61.31%,339,6
2021-09-08,0,1,0,1,0,0,1,3,,,,61.31%,339,6
2021-10-09,0,1,0,1,0,0,1,3,,,,59.25%,375,7
2021-11-11,0,1,0,1,0,0,1,3,,,,59.25%,375,7
2021-12-13,0,1,0,1,0,0,1,3,,,,51.84%,423,7
2022-01-11,0,1,0,1,0,0,1,3,,,,51.40%,421,7
2022-02-14,0,1,0,1,0,0,1,3,,,,50.91%,431,7
2022-03-16,0,1,0,1,0,0,1,3,,,,50.91%,431,7
2022-04-18,0,1,0,1,0,0,1,3,,,,50.91%,431,7
2022-05-17,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2022-06-16,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2022-07-15,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2022-08-15,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2022-09-13,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2022-10-12,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2022-11-13,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2022-12-12,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2023-01-10,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2023-02-09,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2023-03-11,0,1,0,1,0,0,1,3,,,,49.12%,453,7
2023-04-13,0,1,0,1,0,0,1,3,,,,49.12%,453,7
