date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-06-11,0,0,0,0,0,0,0,0,,,,43.16%,140,4
2021-07-12,0,0,0,0,0,0,0,0,,,,43.16%,140,4
2021-08-10,0,0,0,0,0,0,0,0,,,,43.16%,140,4
2021-09-08,0,0,0,0,0,0,0,0,,,,41.41%,148,4
2021-10-09,0,0,0,0,0,0,0,0,,,,41.41%,148,4
2021-11-11,0,0,0,0,0,0,0,0,,,,40.82%,148,4
2021-12-13,0,0,0,0,0,0,0,0,,,,40.82%,148,4
2022-01-11,0,0,0,0,0,0,0,0,,,,40.82%,148,4
2022-02-14,0,0,0,0,0,0,0,0,,,,40.82%,148,4
2022-03-16,0,0,0,0,0,0,0,0,,,,42.50%,124,4
2022-04-18,0,0,0,0,0,0,0,0,,,,42.11%,131,4
2022-05-17,0,0,0,0,0,0,0,0,,,,42.11%,131,4
2022-06-16,0,0,0,0,0,0,0,0,,,,42.11%,131,4
2022-07-15,0,0,0,0,0,0,0,0,,,,41.76%,138,4
2022-08-15,0,0,0,0,0,0,0,0,,,,41.76%,138,4
2022-09-13,0,0,0,0,0,0,0,0,,,,43.72%,162,4
2022-10-12,0,0,0,0,0,0,0,0,,,,42.45%,162,4
2022-11-13,0,0,0,0,0,0,0,0,,,,42.45%,162,4
2022-12-12,0,0,0,0,0,0,0,0,,,,42.45%,162,4
2023-01-10,0,0,0,0,0,0,0,0,,,,42.45%,162,4
2023-02-09,0,0,0,0,0,0,0,0,,,,42.18%,162,4
2023-03-11,0,0,0,0,0,0,0,0,,,,42.18%,162,4
2023-04-13,0,0,0,0,0,0,0,0,,,,41.89%,169,4
