date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-08,0,0,0,0,0,0,1,1,,,,10.71%,136,5
2019-06-06,0,0,0,0,0,0,1,1,,,,10.71%,136,5
2019-07-05,0,0,0,0,0,0,1,1,,,,10.20%,144,5
2019-08-03,0,0,0,0,0,0,1,1,,,,10.14%,144,5
2019-09-02,0,0,0,0,0,0,1,1,,,,10.14%,144,5
2019-10-07,0,0,0,0,0,0,1,1,,,,10.14%,144,5
2019-11-05,0,0,0,0,0,0,1,1,,,,11.11%,139,5
2019-12-06,0,0,0,0,0,0,1,1,,,,10.71%,141,5
2020-01-06,0,0,0,0,0,0,1,1,,,,10.71%,141,5
2020-02-04,0,0,0,0,0,0,1,1,,,,11.11%,139,5
2020-03-04,0,0,0,0,0,0,1,1,,,,11.11%,139,5
2020-04-03,0,0,0,0,0,0,1,1,,,,11.11%,139,5
2020-05-02,0,0,0,0,0,0,1,1,,,,10.79%,141,5
2020-05-31,0,0,0,0,0,0,1,1,,,,9.32%,147,5
2020-06-29,0,0,0,0,0,0,1,1,,,,9.32%,147,5
2020-07-28,0,1,0,1,0,0,1,3,,,,4.34%,223,6
2020-08-28,0,1,0,1,0,0,1,3,,,,4.34%,223,6
2020-10-01,0,1,0,1,0,0,1,3,,,,4.32%,224,6
2020-10-30,0,1,0,1,0,0,1,3,,,,5.33%,231,6
2020-12-05,0,1,0,1,0,0,1,3,,,,5.33%,231,6
2021-01-04,0,1,0,1,0,0,1,3,,,,5.33%,231,6
2021-02-02,0,1,0,1,0,0,1,3,,,,5.30%,232,6
2021-03-04,0,1,0,1,0,0,1,3,,,,5.30%,232,6
2021-04-07,0,1,0,1,0,0,1,3,,,,5.30%,232,6
2021-05-06,0,1,0,1,0,0,1,3,,,,5.30%,231,6
2021-06-11,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2021-07-12,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2021-08-10,0,1,0,1,0,0,0,2,,,,6.50%,234,6
2021-09-08,0,1,0,1,0,0,0,2,,,,6.50%,234,6
2021-10-09,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2021-11-11,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2021-12-13,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-01-11,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-02-14,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-03-16,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-04-18,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-05-17,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-06-16,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-07-15,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-08-15,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-09-13,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-10-12,0,1,0,1,0,0,1,3,,,,6.50%,234,6
2022-11-13,0,1,0,1,0,0,0,2,,,,6.50%,234,6
2022-12-12,0,1,0,1,0,0,0,2,,,,6.50%,234,6
2023-01-10,0,1,0,1,0,0,0,2,,,,6.50%,234,6
2023-02-09,0,0,0,0,0,0,0,0,,,,0.00%,74,1
2023-03-11,0,0,0,0,0,0,0,0,,,,0.00%,74,1
2023-04-13,0,0,0,0,0,0,0,0,,,,0.00%,74,1
