date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-03-04,0,0,0,1,0,0,0,1,,,,0.00%,329,6
2020-04-03,0,0,0,1,0,0,0,1,,,,0.00%,329,6
2020-05-02,0,0,0,1,0,0,0,1,,,,0.00%,340,6
2020-05-31,0,0,0,1,0,0,0,1,,,,0.00%,343,6
2020-06-29,0,0,0,1,0,0,0,1,,,,0.00%,343,6
2020-07-28,0,0,0,1,0,0,0,1,,,,0.00%,347,6
2020-08-28,0,0,0,1,0,0,0,1,,,,0.00%,347,6
2020-10-01,0,0,0,1,0,0,0,1,,,,0.00%,347,6
2020-10-30,0,0,0,1,0,0,0,1,,,,0.00%,347,6
2020-12-05,0,0,0,1,0,0,0,1,,,,0.00%,347,6
2021-01-04,0,0,0,1,0,0,0,1,,,,0.00%,347,6
2021-02-02,0,0,0,1,0,0,0,1,,,,0.00%,347,6
2021-03-04,0,0,0,1,0,0,0,1,,,,0.00%,350,6
2021-04-07,0,0,0,1,0,0,0,1,,,,0.00%,350,6
2021-05-06,0,0,0,1,0,0,0,1,,,,0.00%,385,6
2021-06-11,0,0,0,1,0,0,0,1,,,,0.00%,385,6
2021-07-12,0,0,0,1,0,0,0,1,,,,0.00%,385,6
2021-08-10,0,0,0,1,0,0,0,1,,,,0.00%,385,6
2021-09-08,0,0,0,1,0,0,0,1,,,,0.00%,457,6
2021-10-09,0,0,0,1,0,0,0,1,,,,0.00%,457,6
2021-11-11,0,0,0,1,0,0,0,1,,,,0.00%,457,6
2021-12-13,0,0,0,1,0,0,0,1,,,,0.00%,457,6
2022-01-11,0,0,0,1,0,0,0,1,,,,0.00%,457,6
2022-02-14,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-03-16,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-04-18,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-05-17,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-06-16,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-07-15,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-08-15,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-09-13,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-10-12,0,0,0,1,0,0,0,1,,,,9.00%,469,6
2022-11-13,0,0,0,1,0,0,0,1,,,,15.40%,511,6
2022-12-12,0,0,0,1,0,0,0,1,,,,15.40%,511,6
2023-01-10,0,0,0,1,0,0,0,1,,,,15.40%,511,6
2023-02-09,0,0,0,1,0,0,0,1,,,,15.40%,511,6
2023-03-11,0,0,0,1,0,0,0,1,,,,15.40%,511,6
2023-04-13,0,0,0,1,0,0,0,1,,,,15.40%,511,6
